,微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,sentiment,negative_prob,abnormal
1342,4935,688,1711,1,1,85,6,0,-0.989176,0.995129,0
1343,22362,885,8310000,1,1,20,9,1,0.752693,0.111288,0
1344,92425,971,281000,1,1,154,58,0,0.987209,0.00575582,0
1345,178280,1267,18931000,1,1,523,109,1,-0.931139,0.969013,0
1346,16192,721,2148,1,1,1712,115,1,0.997177,0.00127022,0
1347,132538,655,2421000,1,1,190,55,0,0.83765,0.0730577,0
1348,60727,323,1074000,0,1,125,60,0,0.982314,0.00795884,0
1349,2122,192,2673,1,1,5,2,1,0.733908,0.119742,0
1350,2741,70,571000,1,1,61,7,0,0.0,0.370029,0
1351,62426,883,466000,1,1,2,3,0,0.904758,0.0428588,0
1352,10801,50,214000,1,1,3,0,1,0.303805,0.313288,0
1353,173993,2972,3889000,1,1,13,1,0,-0.882984,0.947343,0
1354,520,213,202,0,0,0,0,0,-0.966267,0.98482,0
1355,157,53,301,1,0,0,0,0,0.999791,9.40561e-05,0
1356,186,23,19,1,0,0,0,0,-0.849201,0.932141,0
1357,1221,267,202,1,0,0,0,0,0.585463,0.186542,0
1358,317,1121,445,1,0,0,0,0,0.958799,0.0185403,0
1359,10964,1572,12000,1,1,0,0,1,0.641764,0.161206,0
1360,3581,307,503,1,0,0,0,0,-0.752652,0.888693,0
1361,2319,230,1930000,1,1,154,18,1,0.0,0.497813,0
1362,17222,904,178000,1,1,227,14,0,-0.990639,0.995788,0
1363,186,42,143,1,0,0,0,1,0.67921,0.144355,0
1364,2944,156,266,1,0,0,0,0,0.0,0.46852,0
1365,29147,180,1573000,1,1,0,0,0,-0.545282,0.795377,0
1366,397,195,2448,1,0,0,0,1,0.99058,0.00423911,0
1367,25696,421,1855,0,1,0,0,1,-0.38526,0.723367,0
1368,162,116,4,0,0,1,0,1,0.0,0.576718,0
1369,17325,880,16000,1,1,0,0,0,0.251717,0.336727,0
1370,12358,207,504,1,0,0,0,0,0.46626,0.240183,0
1371,21412,404,301,1,1,1,0,1,-0.997819,0.999018,0
1372,6542,158,189000,1,1,0,0,1,0.920981,0.0355584,0
1373,57430,577,4585000,1,1,288,56,0,0.0,0.609693,0
1374,106359,483,1957000,1,1,7,2,1,0.963228,0.0165476,0
1375,81843,1352,1057000,1,1,30,25,1,-0.711802,0.870311,0
1376,36571,301,2437000,1,1,49,17,1,0.642314,0.160959,0
1377,10964,886,12000,1,1,66,14,1,-0.99792,0.999064,0
1378,37300,1315,1225000,1,1,138,46,1,0.0,0.534508,0
1379,2141,218,414,1,0,45,11,1,0.992229,0.00349704,0
1380,4,37,3,0,0,20,0,1,-0.995087,0.997789,0
1381,40277,5675,1205000,1,1,33,30,1,-0.578024,0.810111,0
1382,3646,508,1376,1,0,25,5,0,0.993902,0.00274419,0
1383,326,57,321,1,0,0,0,0,0.986968,0.00586433,0
1384,24982,135,870000,1,1,0,0,1,0.647508,0.158621,0
1385,29308,1236,1712,1,1,7,2,1,0.999908,4.12937e-05,0
1386,24768,412,1030000,1,1,2,0,1,0.900549,0.0447529,0
1387,6203,110,559,1,0,0,0,0,-0.673531,0.853089,0
1388,742,119,11000,1,1,2,0,0,-0.443137,0.749412,0
1389,16519,990,409000,1,1,5,0,1,0.999951,2.22827e-05,0
1390,53645,816,3108000,1,1,7,4,1,-0.297896,0.684053,0
1391,92429,971,281000,1,1,37,9,1,0.998955,0.000470404,0
1392,61590,336,1733000,1,1,7,2,1,0.0,0.526003,0
1393,60863,489,7296000,1,1,3,0,1,0.0,0.537163,0
1394,84956,1134,766000,1,1,33,22,1,-0.308307,0.688738,0
1395,15941,471,235000,1,1,90,14,0,0.0,0.639087,0
1396,70207,371,3508000,1,1,202,39,1,0.877647,0.0550586,0
1397,3156,174,13000,1,1,13,6,1,0.91281,0.0392358,0
1398,5897,92,324000,1,1,314,11,1,-0.491474,0.771163,0
1399,10611,618,173000,1,1,51,31,0,0.0,0.477233,0
1400,13760,603,21000,1,1,0,0,0,0.381048,0.278528,0
1401,37673,3236,697000,1,1,18,7,0,0.310126,0.310443,0
1402,6038,410,2009,1,0,0,0,1,0.0,0.386687,0
1403,1979,490,211,1,0,0,0,0,0.940306,0.0268624,0
