微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,positive_prob,sentiment,confidence,negative_prob,abnormal
23489,196,4959000,1,1,53,30,0,0.378792,0,0.158239,0.621208,0
6202,93,89000,1,1,18,3,1,0.0103098,0,0.977089,0.98969,0
64869,2791,134000,1,1,4,0,1,0.293186,0,0.348476,0.706814,0
155138,767,4005000,1,1,11,0,1,0.46693,1,0.338603,0.53307,0
6564,247,20000,1,0,4,1,0,0.0132944,0,0.970457,0.986706,0
6183,45,73,1,0,17,1,0,0.000050756,0,0.999887,0.999949,0
5338,158,811000,1,1,45,11,0,0.511415,1,0.771695,0.488585,0
9449,602,150000,1,1,10,1,1,0.956272,2,0.902826,0.0437284,0
16999,750,84000,1,1,10,12,1,0.999222,2,0.998271,0.000778273,0
51639,405,5191000,0,1,39,33,1,0.00071535,0,0.99841,0.999285,0
246675,1017,40359000,1,1,51,17,1,0.979358,2,0.954128,0.0206422,0
112994,158,169000,1,1,11,3,1,0.0246019,0,0.945329,0.975398,0
2904,175,134000,1,0,416,91,0,0.982145,2,0.960322,0.017855,0
66281,159,3450000,1,1,41,0,0,0.970443,2,0.934318,0.0295568,0
37077,475,134000,1,1,43,0,0,0.201799,0,0.551557,0.798201,0
2582,332,475,0,0,0,0,1,0.994769,2,0.988376,0.00523092,0
1904,224,40000,1,0,9,1,0,0.760928,2,0.468728,0.239072,0
103,61,2,0,0,0,0,0,0.995135,2,0.989188,0.00486524,0
903,49,9,0,0,19,7,1,0.461786,1,0.235713,0.538214,0
37,46,52,1,0,0,0,1,0.986982,2,0.971071,0.0130178,0
393,146,54,1,0,0,0,1,0.927067,2,0.837927,0.072933,0
11193,391,4372,1,0,6,0,0,0.996429,2,0.992064,0.00357125,0
1463,474,5649,1,0,0,0,1,0.560744,2,0.0238751,0.439256,0
1147,353,88,1,0,0,0,0,0.906043,2,0.791206,0.0939575,0
31533,4,285,0,1,0,0,1,0.0654745,0,0.854501,0.934525,0
9070,202,119000,1,1,28,23,1,0.96389,2,0.919755,0.0361102,0
77993,897,321000,1,1,6,2,0,0.966517,2,0.925593,0.0334831,0
9276,2140,11000,1,1,10,0,1,0.0063859,0,0.985809,0.993614,0
26247,1130,651000,1,1,12,4,0,0.483528,1,0.670551,0.516472,0
6073,482,277,1,0,163,30,1,0.48429,1,0.685798,0.51571,0
10903,716,2215000,1,1,5263,483,1,0.369729,0,0.178379,0.630271,0
6452,135,16000,1,1,10,3,1,0.996182,2,0.991515,0.00381812,0
1801,533,445,1,0,16,9,1,0.999982,2,0.999959,1.84437E-05,0
19295,484,54000,1,1,14,1,0,0.999983,2,0.999962,1.71687E-05,0
28355,615,523000,1,1,295,44,0,0.514199,1,0.716013,0.485801,0
117458,712,30929000,1,1,87,16,1,0.985298,2,0.96733,0.0147016,0
2741,70,571000,1,1,181,21,1,0.993591,2,0.985759,0.00640863,0
16287,209,10128000,1,1,565,124,1,0.989516,2,0.976702,0.0104841,0
16107,235,17121000,1,1,7,0,1,0.96435,2,0.920778,0.0356498,0
110201,356,5316000,1,1,2,0,1,0.0344928,0,0.923349,0.965507,0
152858,3063,151000000,1,1,1018,241,1,0.978948,2,0.953217,0.0210523,0
146621,2432,46500000,1,1,902,78,1,0.980445,2,0.956545,0.0195549,0
300,275,4,1,0,80,4,1,0.000186512,0,0.999585,0.999813,0
698,50,11,0,0,51,1,0,0.15846,0,0.647867,0.84154,0
6294,1063,1970000,1,1,225,42,1,0.887826,2,0.750725,0.112174,0
222,29,5382,1,0,39,28,1,0.775834,2,0.501854,0.224166,0
52,27,5,0,0,47,0,1,0.0100407,0,0.977687,0.989959,0
71051,724,23479000,1,1,42,0,1,0.0589187,0,0.86907,0.941081,0
77,38,5,1,0,68,0,0,0.000393744,0,0.999125,0.999606,0
104,35,5,0,0,76,5,0,0.00376263,0,0.991639,0.996237,0
33293,20000,2200000,1,1,27,27,1,0.99939,2,0.998645,0.000609657,0
131189,354,18052000,1,1,58,12,1,0.202648,0,0.54967,0.797352,0
309853,839,48101000,1,1,26,7,1,0.225093,0,0.499792,0.774907,0
16499,1304,33000,1,1,33,10,1,0.773741,2,0.497202,0.226259,0
73387,531,57000,1,1,170,61,1,0.516742,1,0.665152,0.483258,0
4022,573,19000,1,0,112,2,0,0.982841,2,0.961869,0.0171591,0
59658,1190,667000,1,1,455,90,1,0.198843,0,0.558126,0.801157,0
1821,68,12000,1,1,72,7,1,0.00112889,0,0.997491,0.998871,0
246675,1017,40359000,1,1,24,4,1,0.771407,2,0.492015,0.228593,0
72236,906,1811000,1,1,0,0,1,0.163682,0,0.636262,0.836318,0
13495,4331,1110000,1,1,92,32,1,0.998018,2,0.995595,0.00198207,0
1125,2188,1037000,0,1,52,45,0,0.994248,2,0.987217,0.00575241,0
2319,230,1931000,1,1,154,18,1,0.502187,1,0.956266,0.497813,0
17223,904,178000,1,1,227,14,0,0.00421233,0,0.990639,0.995788,0
46676,231,16209000,1,1,8,6,1,0.857065,2,0.682366,0.142935,0
9596,895,16000,1,0,21,3,1,0.511257,1,0.774858,0.488743,0
17081,459,1161000,1,1,16,3,1,0.947207,2,0.882682,0.052793,0
28,171,173,1,0,0,0,1,0.968017,2,0.928927,0.031983,0
31474,4,285,0,1,0,0,0,0.976655,2,0.948123,0.0233448,0
5433,280,13000,1,0,11,7,0,0.821339,2,0.602975,0.178661,0
5568,289,275,1,0,0,0,0,0.146494,0,0.674457,0.853505,0
7715,1999,1262,1,0,0,0,1,0.0457391,0,0.898358,0.954261,0
8,153,4,0,0,0,0,1,0.00208845,0,0.995359,0.997912,0
116,430,85,1,0,0,0,0,0.619532,2,0.154515,0.380468,0
281,70,215,0,0,0,0,0,0.00356337,0,0.992081,0.996437,0
936,131,58,1,0,0,0,0,0.992636,2,0.983635,0.00736409,0
1910,214,3,1,0,4,0,1,0.999056,2,0.997902,0.000944065,0
1033,596,152,1,0,0,0,1,0.998837,2,0.997415,0.00116307,0
385,590,72000,1,0,0,0,1,0.00217307,0,0.995171,0.997827,0
5423,466,199,1,0,2,3,1,0.631333,2,0.180739,0.368667,0
11984,50,85,1,0,2,0,1,0.916642,2,0.81476,0.0833578,0
15750,1197,2782,1,1,0,0,0,0.998519,2,0.99671,0.00148053,0
436,112,6,1,0,0,1,1,0.000842383,0,0.998128,0.999158,0
13,163,15,0,0,1,0,0,0.99954,2,0.998977,0.000460485,0
45,1498,476,1,0,2,1,1,0.241637,0,0.463029,0.758363,0
8743,1636,723,1,0,0,0,0,0.907913,2,0.795363,0.0920868,0
1626,670,296,1,0,2,6,1,0.999695,2,0.999322,0.000305316,0
27118,948,11000,1,1,4,0,0,0.260226,0,0.42172,0.739774,0
176,42,3571,0,0,31,12,1,0.119972,0,0.733396,0.880028,0
44359,1181,314000,1,1,2,0,0,0.0218998,0,0.951334,0.9781,0
2347,225,270000,1,1,178,14,1,0.965715,2,0.92381,0.0342855,0
82860,515,7833000,1,1,26,2,1,0.265174,0,0.410724,0.734826,0
127342,2699,20206000,1,1,27,4,1,0.969147,2,0.931438,0.0308531,0
71,52,122,1,0,21,2,1,0.956007,2,0.902239,0.0439926,0
42,307,73,1,0,5,3,1,0.733957,2,0.408793,0.266043,0
4931,6630,11000,1,1,11,8,0,0.00738988,0,0.983578,0.99261,0
154,181,76,1,0,16,15,1,0.999416,2,0.998701,0.000584419,0
2534,5030,765,1,0,0,0,1,5.19146E-05,0,0.999884,0.999948,0
12358,207,504,1,0,0,0,0,0.902828,2,0.784061,0.0971724,0
1146,455,102,0,0,0,0,1,0.902589,2,0.783532,0.0974106,0
21456,170,578,1,1,0,0,1,0.0791595,0,0.82409,0.920841,0
221,148,207,1,0,0,0,1,0.996183,2,0.991518,0.00381679,0
4389,401,370,0,0,1,1,0,0.955507,2,0.901126,0.0444933,0
558,78,94,1,0,0,0,1,0.00282239,0,0.993728,0.997178,0
4401,83,129,1,0,0,0,1,0.903823,2,0.786274,0.0961767,0
94556,4255,1536000,1,1,8,4,1,0.341306,0,0.241542,0.658694,0
7634,438,120,1,0,0,0,1,0.0137919,0,0.969351,0.986208,0
1874,308,9034,1,1,0,0,0,0.99996,2,0.999911,4.02739E-05,0
67,128,71,1,0,0,0,1,0.961494,2,0.914431,0.0385062,0
31533,4,285,0,1,0,0,1,0.00208845,0,0.995359,0.997912,0
31533,4,285,0,1,0,0,0,0.348198,0,0.226227,0.651802,0
4664,855,1943,1,1,2,1,0,0.452739,1,0.0547755,0.547261,0
23540,310,614000,1,1,18,0,1,0.753205,2,0.451567,0.246795,0
2502,467,372,1,0,1,2,0,0.604417,2,0.120926,0.395583,0
1171,883,124,0,0,2,0,0,0.0188297,0,0.958156,0.98117,0
1,36,1,0,0,0,0,1,0.000552998,0,0.998771,0.999447,0
4486,2019,1848,1,1,1,0,0,0.505017,1,0.899666,0.494983,0
9170,603,206000,1,1,0,0,1,0.998446,2,0.996547,0.00155404,0
2378,198,37,1,0,0,0,0,0.972326,2,0.938503,0.0276736,0
983,238,207,1,0,0,1,0,0.0207257,0,0.953943,0.979274,0
10,55,13,0,0,0,0,1,0.818249,2,0.596109,0.181751,0
303,274,262,1,0,0,0,0,0.598143,2,0.106984,0.401857,0
115134,769,251000,1,1,0,0,1,0.0164019,0,0.963551,0.983598,0
538,219,104,1,0,0,0,0,0.854776,2,0.67728,0.145224,0
253,68,56,0,0,1,1,1,0.998569,2,0.99682,0.00143091,0
238,71,148,1,0,0,0,0,0.997793,2,0.995095,0.00220749,0
502,266,342,1,0,5,0,1,0.188039,0,0.582135,0.811961,0
107391,471,1673000,1,1,6,3,1,0.998769,2,0.997263,0.00123143,0
16103,941,54000,1,1,4,0,1,0.0230673,0,0.948739,0.976933,0
279,61,109,1,0,0,0,0,0.487605,1,0.752106,0.512395,0
1324,69,8,0,0,0,0,1,0.99825,2,0.99611,0.0017503,0
1013,259,3,1,0,0,0,0,0.999934,2,0.999854,6.57355E-05,0
109,20,144,1,0,1,0,0,0.60525,2,0.122779,0.39475,0
806,332,186,1,0,0,0,0,0.782526,2,0.516724,0.217474,0
341,0,1,0,0,0,0,1,0.375471,0,0.16562,0.624529,0
1135,186,10,0,0,0,0,1,0.123585,0,0.725368,0.876415,0
20507,691,546,1,1,0,0,1,0.971762,2,0.937248,0.0282383,0
2154,2363,384000,1,1,374,44,1,0.00172751,0,0.996161,0.998272,0
58454,396,40000,1,1,1,0,1,0.0104124,0,0.976861,0.989588,0
449,335,412,1,0,0,0,0,0.992955,2,0.984345,0.00704475,0
120,28,2,1,0,0,0,1,0.485087,1,0.701749,0.514913,0
5514,15517,3350,1,0,14,0,0,0.621082,2,0.157959,0.378918,0
1806,907,314,1,0,17,0,1,0.998298,2,0.996218,0.00170173,0
35495,4515,2034,1,1,6,9,1,0.803667,2,0.563704,0.196333,0
6551,566,72,1,0,0,2,0,0.998058,2,0.995685,0.00194169,0
2533,2085,503,1,0,0,0,1,0.926729,2,0.837176,0.0732706,0
5607,1921,9524,1,0,0,0,0,0.0329812,0,0.926708,0.967019,0
27620,178,582000,1,1,0,0,0,0.99993,2,0.999843,0.000070417,0
78670,400,531000,1,1,0,2,1,0.966297,2,0.925105,0.0337029,0
1314,122,648,0,0,0,0,1,0.843968,2,0.653262,0.156032,0
34586,112,562000,1,1,11,3,1,0.992249,2,0.982775,0.00775136,0
880,186,25,1,0,3,0,0,0.0849946,0,0.811123,0.915005,0
40,24,22,0,0,0,0,1,0.061603,0,0.863105,0.938397,0
3852,173,85,0,0,1,0,1,7.63139E-05,0,0.99983,0.999924,0
1005,80,18000,1,0,36,5,1,0.986244,2,0.969431,0.0137562,0
5,72,572,0,0,10,11,1,0.0529788,0,0.882269,0.947021,0
7507,54,906000,0,1,1,0,1,0.98528,2,0.967288,0.0147203,0
244236,431,1849000,1,1,15,1,1,0.999373,2,0.998607,0.000626919,0
7152,88,571000,1,1,6,1,1,0.937796,2,0.861769,0.062204,0
108492,39,2187000,1,1,10,2,1,0.00118906,0,0.997358,0.998811,0
16287,209,10128000,1,1,42,31,0,0.688278,2,0.307285,0.311722,0
249081,841,3636000,1,1,158,12,1,0.608366,2,0.129703,0.391634,0
92425,971,281000,1,1,31,15,1,0.667881,2,0.261957,0.332119,0
117458,712,30929000,1,1,61,20,1,0.909417,2,0.798705,0.0905829,0
146621,2432,46500000,1,1,47,15,1,0.894511,2,0.76558,0.105489,0
167144,1414,4886000,1,1,62,11,0,0.164215,0,0.635078,0.835785,0
158098,2993,109000000,1,1,43,7,0,0.182222,0,0.595063,0.817778,0
71051,724,23479000,1,1,29,7,1,0.045074,0,0.899835,0.954926,0
11480,688,574000,1,1,94,15,1,0.0593914,0,0.868019,0.940609,0
82859,515,7833000,1,1,25,6,1,0.539631,1,0.207379,0.460369,0
871,288,70,1,0,0,0,1,0.603889,2,0.119753,0.396111,0
154,115,16,1,0,0,0,0,0.001385,0,0.996922,0.998615,0
3856,678,102000,1,1,4,0,1,0.0217504,0,0.951666,0.97825,0
1063,514,6,1,0,0,0,1,0.0447548,0,0.900545,0.955245,0
5853,508,509,1,0,0,0,1,0.000162614,0,0.999639,0.999837,0
264,8,2,1,0,0,0,0,0.0144064,0,0.967986,0.985594,0
31533,4,285,0,1,0,0,1,0.00129025,0,0.997133,0.99871,0
41,176,2094,1,0,0,0,0,0.996716,2,0.992702,0.00328429,0
2253,664,172,1,0,0,0,0,0.459847,1,0.196937,0.540153,0
6028,4977,1149,1,0,0,0,1,0.00184574,0,0.995898,0.998154,0
11,19,4,1,0,0,0,1,2.45173E-05,0,0.999946,0.999976,0
58428,396,40000,1,1,1,0,1,0.83504,2,0.633423,0.16496,0
7882,198,19,1,0,0,0,0,0.969052,2,0.931227,0.0309479,0
358,186,156,1,0,0,2,0,0.0760199,0,0.831067,0.92398,0
3361,516,287,1,0,0,1,0,0.999403,2,0.998672,0.000597375,0
1073,227,206,1,0,0,0,0,0.99316,2,0.984801,0.00683952,0
49456,411,141000,1,1,5,3,1,0.0067823,0,0.984928,0.993218,0
12617,4722,431000,1,1,3,0,1,0.9695,2,0.932221,0.0305005,0
2449,508,524,1,0,0,2,1,0.00313874,0,0.993025,0.996861,0
7,102,49,0,0,0,0,0,0.708461,2,0.352136,0.291539,0
6357,2209,9074,1,1,0,0,0,0.00143379,0,0.996814,0.998566,0
543,58,4,0,0,0,0,1,0.000522485,0,0.998839,0.999478,0
1221,553,47,1,0,0,0,1,0.949719,2,0.888264,0.050281,0
1040,300,280,1,0,0,0,1,0.000881511,0,0.998041,0.999119,0
1513,318,2,1,0,0,0,1,6.14122E-05,0,0.999863,0.999939,0
8717,1548,284000,1,1,0,0,1,0.0115442,0,0.974346,0.988456,0
25,11,2,0,0,0,0,1,0.999771,2,0.999492,0.000228538,0
747,496,70,0,0,0,0,1,0.00642559,0,0.985721,0.993574,0
111,47,1,0,0,0,0,1,0.513079,1,0.738429,0.486921,0
3365,337,251,1,1,465,21,1,0.000498052,0,0.998893,0.999502,0
61584,148,1301000,1,1,1,0,1,0.428122,0,0.0486178,0.571878,0
88257,14247,1553000,1,1,69,15,1,0.0836449,0,0.814122,0.916355,0
51228,1885,1313000,1,1,70,35,1,0.999861,2,0.99969,0.000139449,0
29267,2623,119000,1,0,19,6,1,0.838356,2,0.64079,0.161644,0
117139,478,5132000,1,1,59,3,1,0.822794,2,0.606209,0.177206,0
5464,761,223000,1,1,481,42,1,0.000224287,0,0.999501,0.999776,0
31137,985,1090000,1,1,42,22,1,0.980438,2,0.956528,0.0195624,0
3460,807,415,1,0,0,0,0,0.982589,2,0.96131,0.0174106,0
349,142,209,0,0,0,0,0,0.986333,2,0.969629,0.0136669,0
4861,88,245,0,0,0,0,0,0.000291288,0,0.999353,0.999709,0
23411,1377,1458000,1,0,0,0,0,0.999654,2,0.99923,0.00034649,0
4828,995,6160,1,1,1,0,0,0.39021,0,0.132866,0.60979,0
1328,450,121,1,0,0,0,0,0.11395,0,0.746778,0.88605,0
356,900,53,0,0,0,0,0,0.999742,2,0.999426,0.000258101,0
1982,67,478,1,0,0,0,0,0.990679,2,0.979287,0.00932097,0
246,135,66,1,0,0,0,0,0.970796,2,0.935102,0.0292042,0
44,38,1344,1,1,0,0,1,0.0351647,0,0.921856,0.964835,0
4595,825,445,1,0,0,0,0,0.934554,2,0.854564,0.0654461,0
5935,215,116,1,0,0,0,0,0.0136872,0,0.969584,0.986313,0
480,508,81000,1,1,5,1,1,0.00264215,0,0.994129,0.997358,0
119,6,8,1,0,0,0,0,0.92494,2,0.8332,0.0750598,0
2417,1332,142,0,0,1,0,1,0.999834,2,0.999632,0.000165797,0
63,37,1,1,0,0,0,1,0.96136,2,0.914133,0.03864,0
773,137,190000,1,1,2,1,1,0.999945,2,0.999878,5.50604E-05,0
170,8,2,0,0,0,0,0,0.0798153,0,0.822633,0.920185,0
651,161,17000,1,1,0,0,1,0.99272,2,0.983821,0.00728047,0
18443,1275,213000,1,1,20,19,1,0.980253,2,0.956117,0.0197475,0
7979,208,12000,0,1,52,6,0,0.0325644,0,0.927635,0.967436,0
83,94,127,1,0,345,142,1,1.78373E-05,0,0.99996,0.999982,0
1809,252,506000,1,0,858,195,0,0.071282,0,0.841595,0.928718,0
58864,2135,170000,0,1,1004,131,0,0.994677,2,0.988171,0.00532325,0
1636,482,642000,1,1,2189,281,1,0.986679,2,0.970398,0.0133211,0
42408,967,567000,1,1,115,12,1,0.229675,0,0.489612,0.770325,0
59657,1190,667000,1,1,234,32,1,0.467062,1,0.341244,0.532938,0
19398,27,649000,0,1,1785,489,0,0.366319,0,0.185958,0.633681,0
82609,136,6020000,1,1,26,3,1,0.00255172,0,0.994329,0.997448,0
11802,271,3556000,1,1,29,17,1,0.00695303,0,0.984549,0.993047,0
70889,530,2137000,1,1,107,23,0,0.86791,2,0.706467,0.13209,0
127916,1922,4750000,1,1,147,136,0,0.994113,2,0.986917,0.00588723,0
178280,1267,18931000,1,1,43,12,1,0.977661,2,0.950357,0.0223392,0
6901,321,1190000,1,1,32,34,1,0.00415401,0,0.990769,0.995846,0
53411,1811,1883000,1,1,4,0,1,0.185177,0,0.588497,0.814823,0
134,331,3,1,0,39,1,1,0.983592,2,0.963539,0.0164077,0
1403,120,1972,1,0,15,0,0,0.999827,2,0.999616,0.000172741,0
6008,194,245000,1,1,8,20,1,0.999533,2,0.998962,0.000467096,0
6533,271,137000,1,1,13,4,0,0.393192,0,0.12624,0.606808,0
35659,772,23000,1,1,1,2,1,0.999617,2,0.999148,0.000383188,0
14108,18209,5818,1,0,2,2,1,0.159611,0,0.645309,0.840389,0
23831,1234,210000,1,1,4,0,0,0.00218658,0,0.995141,0.997813,0
176,42,3571,0,0,29,12,1,0.119972,0,0.733396,0.880028,0
1521,415,18000,1,0,113,42,0,0.65734,2,0.238533,0.34266,0
11446,71,894000,1,1,316,1,1,0.108648,0,0.758561,0.891352,0
3994,1792,2204,1,0,8,1,1,0.970914,2,0.935365,0.0290859,0
117458,712,30929000,1,1,49,5,0,0.236367,0,0.47474,0.763633,0
3017,177,234000,1,1,3,1,0,0.604002,2,0.120004,0.395998,0
6420,383,192000,1,1,11,1,1,0.00205375,0,0.995436,0.997946,0
14358,755,2173000,1,1,1,1,1,0.973427,2,0.94095,0.0265725,0
1572,122,93000,1,1,101,13,0,0.978696,2,0.952659,0.0213036,0
82609,136,6020000,1,1,3,0,1,0.0135731,0,0.969837,0.986427,0
5755,183,479000,1,1,130,19,1,4.52615E-05,0,0.999899,0.999955,0
18538,901,5828000,1,1,58,11,0,0.996789,2,0.992863,0.00321146,0
20449,431,773000,1,1,26,10,1,0.667538,2,0.261196,0.332462,0
15362,384,3153000,1,1,4,0,1,0.879923,2,0.733163,0.120077,0
2490,588,58,1,0,0,0,0,0.390324,0,0.132614,0.609676,0
65861,679,2561,0,1,2,1,1,0.0197599,0,0.956089,0.98024,0
928,653,117,0,0,0,0,0,0.200575,0,0.554278,0.799425,0
1468,222,85,1,0,2,1,0,0.999988,2,0.999973,1.21923E-05,0
2851,318,349,0,0,1,0,1,0.981643,2,0.959207,0.018357,0
2154,2363,384000,1,1,373,43,1,0.00172751,0,0.996161,0.998272,0
3635,320,472,1,0,0,0,0,0.000869059,0,0.998069,0.999131,0
1588,419,11000,1,1,0,0,1,0.333235,0,0.259478,0.666765,0
2654,482,186000,1,1,0,0,1,0.999603,2,0.999119,0.000396497,0
832,512,324,1,0,0,0,1,0.231018,0,0.486626,0.768982,0
412,252,276,1,0,0,0,0,0.74101,2,0.424466,0.25899,0
638,222,134,1,0,0,0,0,0.958706,2,0.908235,0.041294,0
6195,1900,207000,1,1,12,3,1,0.923461,2,0.829914,0.0765385,0
151,724,76,0,0,0,0,1,0.999706,2,0.999346,0.000294376,0
91213,628,8801000,1,1,47,22,1,0.934727,2,0.854948,0.0652733,0
108766,1999,3755000,1,1,31,10,1,0.817868,2,0.595262,0.182132,0
7269,95,409000,1,1,471,89,0,0.300733,0,0.331704,0.699267,0
206571,1296,77772000,1,1,48,26,1,0.0696559,0,0.845209,0.930344,0
196595,438,8172000,1,1,299,16,1,0.555848,2,0.0129955,0.444152,0
178280,1267,18931000,1,1,231,34,1,0.964905,2,0.922012,0.0350946,0
114850,1477,10662000,1,1,51,11,1,0.216613,0,0.518639,0.783387,0
27137,105,4180000,1,1,314,76,1,0.116886,0,0.740252,0.883114,0
13184,405,153000,1,1,74,29,1,0.00757438,0,0.983168,0.992426,0
32257,452,450000,1,1,44,2,1,0.00101142,0,0.997752,0.998989,0
127342,2699,20206000,1,1,24,6,1,0.30679,0,0.318245,0.69321,0
5277,50,131000,1,1,20,27,1,0.00260929,0,0.994202,0.997391,0
14587,272,1019000,1,1,32,3,1,0.963001,2,0.917779,0.0369993,0
193224,2810,61261000,1,1,242,50,1,0.535762,1,0.284754,0.464238,0
39222,1199,4111000,1,1,2779,294,0,0.092889,0,0.79358,0.907111,0
116191,490,26487000,1,1,25,7,1,0.490057,1,0.801138,0.509943,0
21650,74,428000,1,1,1055,12,1,0.878209,2,0.729353,0.121791,0
37077,475,134000,1,1,44,0,0,0.201799,0,0.551557,0.798201,0
13184,405,153000,1,1,40,8,1,0.0137908,0,0.969354,0.986209,0
180159,884,25164000,1,1,95,27,1,0.989608,2,0.976908,0.0103915,0
122,91,12,0,0,0,0,0,0.0458124,0,0.898195,0.954188,0
601,192,69,1,0,0,1,1,0.0776896,0,0.827356,0.92231,0
2915,256,340,1,0,0,0,1,0.99917,2,0.998156,0.000830027,0
2532,2085,503,1,0,0,0,0,0.0353704,0,0.921399,0.96463,0
1832,630,2064,1,0,0,0,0,0.997274,2,0.993943,0.00272569,0
2840,739,4071,1,1,26,16,1,0.74057,2,0.423488,0.25943,0
2447,693,326,1,0,0,0,0,0.00398526,0,0.991144,0.996015,0
2906,498,2561000,1,1,1,0,1,0.97134,2,0.936312,0.0286598,0
31474,4,285,0,1,0,0,0,0.98006,2,0.955689,0.0199398,0
7856,358,643,1,0,0,0,0,0.939063,2,0.864584,0.0609371,0
932,252,64,1,0,0,0,1,0.00105463,0,0.997656,0.998945,0
9705,912,1419,1,0,0,0,1,0.997798,2,0.995107,0.0022019,0
62350,1424,2955,1,1,0,0,1,0.87745,2,0.727667,0.12255,0
4047,547,78,1,0,0,0,1,0.117245,0,0.739456,0.882755,0
12330,3175,19000,1,1,0,0,1,0.0531923,0,0.881795,0.946808,0
610,108,22,1,0,0,0,0,0.986103,2,0.969119,0.0138965,0
3085,221,39,1,0,0,0,0,0.931974,2,0.848832,0.0680257,0
952,375,295,1,1,0,0,1,0.305828,0,0.320382,0.694172,0
9202,267,95,1,0,0,0,0,0.0836517,0,0.814107,0.916348,0
53506,448,3799000,1,1,43,12,1,0.229319,0,0.490402,0.770681,0
317917,2751,25052000,1,1,91,7,1,0.622315,2,0.1607,0.377685,0
19399,27,649000,0,1,855,231,1,0.000166989,0,0.999629,0.999833,0
1909,1687,464000,1,1,68,8,1,0.999958,2,0.999908,0.000041547,0
41036,200,1314000,1,1,13,6,1,0.822148,2,0.604773,0.177852,0
2513,562,15000,1,1,2287,48,1,0.0163476,0,0.963672,0.983652,0
314,521,1016,1,0,28,3,1,0.995784,2,0.990631,0.00421624,0
3857,1444,148000,1,1,76,7,0,0.856524,2,0.681164,0.143476,0
17838,2048,269000,1,1,48,18,1,0.0184789,0,0.958936,0.981521,0
2763,3,45000,1,1,86,13,1,0.00570488,0,0.987322,0.994295,0
2379,929,332,1,0,0,0,0,0.443411,0,0.0146422,0.556589,0
2653,233,521,1,0,2,6,0,0.0526004,0,0.88311,0.947399,0
627,149,36,1,0,0,1,0,0.951965,2,0.893255,0.0480352,0
150,100,31,1,0,0,0,1,0.0317658,0,0.929409,0.968234,0
156,511,187,0,0,2,0,1,0.993686,2,0.985968,0.00631436,0
7295,168,76,1,0,0,0,1,0.931897,2,0.848659,0.0681033,0
30662,600,126000,1,1,0,0,1,0.497161,1,0.943221,0.502839,0
17435,2143,7329,0,1,0,0,1,0.449204,0,0.00176933,0.550796,0
22135,548,825,1,1,2,5,1,0.999986,2,0.999968,1.43846E-05,0
1886,427,10000,1,1,7,0,1,0.120001,0,0.733331,0.879999,0
30408,2282,273000,1,0,70,20,1,0.976102,2,0.946893,0.0238982,0
7088,199,259000,1,1,21,12,1,0.205862,0,0.542528,0.794137,0
53644,816,3108000,1,1,3,0,1,0.908684,2,0.797075,0.0913164,0
118076,436,37780000,1,1,19,3,1,0.956884,2,0.904186,0.0431164,0
39289,70,157000,1,1,1380,36,1,0.999861,2,0.99969,0.000139429,0
131189,354,18052000,1,1,51,9,1,0.387911,0,0.137976,0.612089,0
132092,4519,1075000,1,1,14,12,0,0.799992,2,0.555537,0.200008,0
2049,2,411,0,0,0,0,1,0.00636167,0,0.985863,0.993638,0
594,45,15,1,0,0,0,1,0.151717,0,0.662851,0.848283,0
3772,125,65,1,0,0,0,0,0.165529,0,0.632157,0.834471,0
38769,250,235000,1,1,7,2,1,0.937049,2,0.860109,0.0629509,0
15173,450,4807,1,1,0,0,1,0.450739,1,0.0147796,0.549261,0
290,240,71,0,0,21,31,1,0.98972,2,0.977155,0.0102802,0
340,945,60,1,0,0,0,1,0.999883,2,0.99974,0.000116856,0
5055,1954,77000,1,1,0,0,1,0.761208,2,0.46935,0.238792,0
615,240,281,0,0,0,0,0,0.0840528,0,0.813216,0.915947,0
1192,28,80,0,0,0,0,0,0.999796,2,0.999547,0.000203895,0
1066,711,1302,1,0,0,0,1,0.908747,2,0.797215,0.0912532,0
10262,418,107000,1,1,0,0,0,0.942059,2,0.871243,0.0579406,0
427,266,16,1,0,1,0,0,0.0052416,0,0.988352,0.994758,0
147994,1441,14064000,1,1,0,0,1,0.987811,2,0.972913,0.0121894,0
15825,338,715,1,0,0,0,0,0.372402,0,0.17244,0.627598,0
1158,362,195,1,0,1,0,1,0.0435879,0,0.903138,0.956412,0
568,950,54,0,0,0,2,0,0.000115059,0,0.999744,0.999885,0
68064,1000,974000,1,1,0,0,1,0.0836091,0,0.814202,0.916391,0
283,148,53,1,0,0,0,0,1.25432E-05,0,0.999972,0.999987,0
77,140,356,1,0,0,0,0,0.951617,2,0.892482,0.0483833,0
112,262,194,1,0,0,0,0,0.992571,2,0.98349,0.00742949,0
203,564,75,0,0,0,0,0,0.990169,2,0.978152,0.00983138,0
45,1498,476,1,0,0,0,1,0.241637,0,0.463029,0.758363,0
8742,1636,723,1,0,0,0,0,0.907913,2,0.795363,0.0920868,0
14586,629,422,1,1,124,73,1,0.91532,2,0.811823,0.0846795,0
2532,2085,503,1,0,0,0,1,0.926729,2,0.837176,0.0732707,0
4005,301,146000,1,1,6,1,1,0.0540212,0,0.879953,0.945979,0
100755,1056,8458000,1,1,26,1,1,0.320946,0,0.286786,0.679054,0
