微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,positive_prob,sentiment,confidence,negative_prob,abnormal
49072,207,1165000,1,1,3,0,1,0.114788,0,0.744915,0.885212,0
43261,3036,2692000,1,1,32,4,0,0.00547919,0,0.987824,0.994521,0
2943,417,67000,1,0,45,29,1,0.981956,2,0.959901,0.0180444,0
2444,125,470000,1,1,128739,1835,0,0.124608,0,0.723093,0.875392,0
1674,361,496000,1,1,149,25,1,0.993996,2,0.986658,0.00600394,0
17443,2018,145000,1,1,66,14,1,0.4046,0,0.100888,0.5954,0
50509,3653,1466000,1,1,31,25,1,0.206203,0,0.54177,0.793797,0
193224,2810,61261000,1,1,32379,2301,1,0.869532,2,0.710071,0.130468,0
34877,1607,743000,1,1,40,7,1,0.986791,2,0.970646,0.0132093,0
21125,3239,3980000,1,1,27,4,1,0.997463,2,0.994363,0.00253684,0
39491,160,4013000,1,1,15,0,0,0.991245,2,0.980545,0.00875456,0
42619,336,1632000,1,1,1,0,1,0.893651,2,0.763668,0.106349,0
79436,646,7697000,1,1,2,0,0,0.877518,2,0.727817,0.122482,0
100631,424,3587000,1,1,1,0,0,0.989227,2,0.97606,0.0107732,0
27979,478,7977000,1,1,0,1,1,0.00346097,0,0.992309,0.996539,0
177086,1170,5485000,1,1,4,0,1,0.995151,2,0.989224,0.00484914,0
117460,712,30929000,1,1,93,6,0,0.968866,2,0.930814,0.0311338,0
246675,1017,40359000,1,1,8,2,1,0.970961,2,0.935468,0.0290393,0
152859,3063,151000000,1,1,6593,477,0,0.995231,2,0.989403,0.00476866,0
35466,123,4853000,1,1,575,8,1,0.997029,2,0.993399,0.00297052,0
62850,71,10401000,1,1,59,7,1,0.997187,2,0.993749,0.00281298,0
27137,105,4180000,1,1,313,76,1,0.116886,0,0.740252,0.883114,0
13181,404,153000,1,1,74,29,1,0.00757437,0,0.983168,0.992426,0
1325,64,2424000,1,1,280,31,1,0.473997,1,0.479947,0.526003,0
138956,933,48892000,1,1,24,1,1,0.999534,2,0.998966,0.000465531,0
6641,120,15000,1,0,102,15,0,0.00426037,0,0.990533,0.99574,0
32255,452,450000,1,1,44,2,1,0.00101142,0,0.997752,0.998989,0
