序号,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途,单价（元/平方米）
0,成华,驷马桥,3室2厅1厨1卫,高楼层 (共6层),111.02,平层,板楼,南 北,砖混结构,毛坯,无,44248,拆迁安置房,普通住宅,10200
1,成华,猛追湾,4室1厅1厨2卫,高楼层 (共9层),144.42,平层,板塔结合,南,框架结构,精装,有,44521,商品房,普通住宅,20000
2,成华,驷马桥,7室4厅1厨4卫,低楼层 (共18层),271.09,跃层,板塔结合,南,钢混结构,简装,有,44533,商品房,普通住宅,35000
3,成华,猛追湾,3室2厅1厨2卫,中楼层 (共7层),113.41,平层,板楼,南,混合结构,简装,无,44532,商品房,普通住宅,11300
4,成华,驷马桥,3室2厅1厨2卫,中楼层 (共18层),123.7,平层,塔楼,南 北,钢混结构,毛坯,有,44544,商品房,普通住宅,18000
5,成华,理工大,2室2厅1厨1卫,低楼层 (共32层),80.64,平层,板楼,南,钢混结构,精装,有,44528,商品房,普通住宅,17500
6,成华,李家沱,3室2厅1厨2卫,中楼层 (共6层),134.06,平层,塔楼,东南,钢混结构,简装,无,44529,商品房,普通住宅,21300
7,成华,驷马桥,3室1厅1厨1卫,低楼层 (共19层),91.3,平层,板塔结合,东南,钢混结构,精装,有,44541,商品房,普通住宅,20500
8,成华,动物园,3室1厅1厨2卫,高楼层 (共18层),111.07,平层,板塔结合,北 南,钢混结构,精装,有,44541,商品房,普通住宅,16300
9,成华,八里小区,3室1厅1厨1卫,中楼层 (共27层),92.3,平层,塔楼,东南,钢混结构,精装,有,44543,商品房,普通住宅,18000
10,成华,驷马桥,3室2厅1厨1卫,高楼层 (共21层),89.83,平层,板塔结合,东南,钢混结构,简装,有,44543,商品房,普通住宅,16900
11,成华,万年场,3室1厅1厨2卫,中楼层 (共11层),119.46,平层,板楼,西南,钢混结构,精装,有,44537,商品房,普通住宅,18800
12,成华,东郊记忆,3室2厅1厨1卫,低楼层 (共33层),89.06,平层,板塔结合,东北,钢混结构,简装,有,44541,商品房,普通住宅,16500
13,成华,万年场,1室1厅1厨1卫,低楼层 (共6层),47.45,平层,板楼,南,钢混结构,简装,无,2021/12/3,拆迁安置房,普通住宅,4500
14,成华,驷马桥,2室1厅1厨1卫,高楼层 (共21层),78.33,平层,板塔结合,东南,钢混结构,精装,有,44542,商品房,普通住宅,13950
15,成华,万象城,3室2厅1厨2卫,高楼层 (共33层),112.7,平层,板楼,东北,框架结构,精装,有,44520,商品房,普通住宅,21300
16,成华,猛追湾,3室2厅1厨2卫,高楼层 (共7层),145.1,平层,板楼,东南,砖混结构,简装,无,44327,商品房,普通住宅,13300
17,成华,万象城,2室1厅1厨1卫,低楼层 (共33层),67.12,平层,塔楼,西南,钢混结构,精装,有,44525,拆迁安置房,普通住宅,12850
18,成华,八里小区,3室1厅1厨1卫,高楼层 (共7层),91.71,平层,板楼,东南,钢混结构,简装,无,2021/11/25,商品房,普通住宅,8000
19,成华,万年场,2室1厅1厨1卫,中楼层 (共33层),68.57,平层,板塔结合,西,钢混结构,精装,有,2021/12/5,经济适用房,普通住宅,9200
20,成华,建设路,2室1厅1厨1卫,中楼层 (共7层),57.43,平层,板楼,东,砖混结构,简装,无,2021/12/13,商品房,普通住宅,6600
21,成华,动物园,3室1厅1厨1卫,低楼层 (共31层),71.33,平层,塔楼,南,钢混结构,精装,有,44540,商品房,普通住宅,13000
22,成华,八里小区,3室2厅1厨1卫,高楼层 (共18层),110.92,平层,板楼,西南,框架结构,毛坯,有,44534,商品房,普通住宅,16800
23,成华,龙潭寺,3室1厅1厨2卫,高楼层 (共32层),90.2,平层,板塔结合,北,钢混结构,简装,有,44534,商品房,普通住宅,15500
24,成华,驷马桥,2室1厅1厨1卫,低楼层 (共21层),75.96,平层,板塔结合,东南,钢混结构,精装,有,44542,商品房,普通住宅,14200
25,成华,万象城,3室1厅1厨1卫,低楼层 (共32层),88.39,平层,塔楼,南 北,钢混结构,简装,有,44535,商品房,普通住宅,21200
26,成华,东郊记忆,3室1厅1厨2卫,高楼层 (共33层),90.4,平层,板塔结合,东南,钢混结构,简装,有,44525,商品房,普通住宅,17800
27,成华,龙潭寺,3室2厅1厨2卫,中楼层 (共5层),129.2,错层,板塔结合,东南,框架结构,简装,无,44541,商品房,普通住宅,13880
28,成华,新华公园,2室2厅1厨1卫,高楼层 (共40层),66.52,平层,板塔结合,南,钢混结构,精装,有,44536,商品房,普通住宅,16000
29,成华,驷马桥,2室1厅1厨1卫,中楼层 (共6层),74.42,平层,板楼,南,砖混结构,简装,无,2021/8/19,商品房,普通住宅,7380
30,成华,猛追湾,3室1厅1厨1卫,中楼层 (共7层),80.82,平层,板楼,西,混合结构,精装,无,44492,商品房,普通住宅,11200
31,成华,八里小区,4室2厅1厨2卫,高楼层 (共6层),139.68,跃层,板楼,东南,钢混结构,简装,无,44319,商品房,普通住宅,16450
32,成华,驷马桥,4室1厅1厨2卫,高楼层 (共18层),137.57,平层,板塔结合,东南,钢混结构,精装,有,44517,商品房,普通住宅,29000
33,成华,理工大,3室1厅1厨1卫,低楼层 (共41层),73.92,平层,塔楼,东南,框架结构,精装,有,44528,商品房,普通住宅,17200
34,成华,八里小区,3室1厅1厨2卫,中楼层 (共11层),122.76,错层,板楼,东,钢混结构,简装,有,44523,商品房,普通住宅,19800
35,成华,李家沱,2室1厅1厨1卫,高楼层 (共7层),54.79,跃层,板楼,南,混合结构,精装,无,2021/11/30,商品房,普通住宅,7800
36,成华,成渝立交,3室1厅1厨1卫,高楼层 (共31层),78.13,平层,板塔结合,北,钢混结构,精装,有,44521,商品房,普通住宅,15700
37,成华,八里小区,2室2厅1厨1卫,高楼层 (共7层),77.0,平层,板楼,西南,砖混结构,简装,无,2021/11/21,商品房,普通住宅,8600
38,成华,万年场,3室2厅1厨2卫,高楼层 (共41层),88.97,平层,板塔结合,西南,钢混结构,毛坯,有,44523,商品房,普通住宅,21500
39,成华,万象城,3室2厅1厨1卫,中楼层 (共32层),89.83,平层,塔楼,西,钢混结构,精装,有,44531,商品房,普通住宅,23000
40,成华,东客站,2室1厅1厨1卫,高楼层 (共18层),86.11,平层,塔楼,西,框架结构,精装,有,44520,经济适用房,普通住宅,10600
41,成华,万象城,2室1厅1厨1卫,高楼层 (共32层),90.16,平层,塔楼,东,钢混结构,精装,有,44531,商品房,普通住宅,20500
42,成华,李家沱,2室1厅1厨2卫,中楼层 (共18层),86.12,平层,板塔结合,西,框架结构,简装,有,44522,商品房,普通住宅,15880
43,成华,万象城,2室2厅1厨1卫,中楼层 (共33层),67.78,平层,塔楼,西南,钢混结构,毛坯,有,44528,拆迁安置房,普通住宅,11900
44,成华,新华公园,2室1厅1厨1卫,中楼层 (共33层),68.74,平层,塔楼,南,框架结构,简装,有,44530,商品房,普通住宅,12000
45,成华,万象城,2室1厅1厨1卫,中楼层 (共21层),60.44,平层,板塔结合,西,框架结构,精装,有,44534,商品房,普通住宅,11200
46,成华,万象城,2室1厅1厨1卫,中楼层 (共32层),82.93,平层,板塔结合,南,框架结构,精装,有,44533,商品房,普通住宅,15500
47,成华,驷马桥,2室2厅1厨1卫,中楼层 (共6层),71.23,平层,板楼,南,钢混结构,简装,无,2021/12/3,商品房,普通住宅,7200
48,成华,理工大,1室1厅1厨1卫,中楼层 (共22层),55.79,平层,板塔结合,西南,钢混结构,简装,有,2021/12/9,商品房,普通住宅,7200
49,成华,新华公园,2室1厅1厨1卫,中楼层 (共37层),67.5,平层,板塔结合,西南,钢混结构,精装,有,44534,商品房,普通住宅,16500
50,成华,动物园,2室2厅1厨1卫,高楼层 (共18层),71.62,平层,塔楼,北,钢混结构,简装,有,44536,商品房,普通住宅,13500
51,成华,驷马桥,1室1厅1厨1卫,高楼层 (共6层),44.71,平层,板楼,南,砖混结构,毛坯,无,2021/12/5,商品房,普通住宅,3900
52,成华,驷马桥,2室1厅1厨1卫,高楼层 (共7层),84.3,平层,板楼,南,框架结构,简装,无,2021/12/3,商品房,普通住宅,8780
53,成华,万年场,2室1厅1厨1卫,中楼层 (共18层),75.21,平层,板塔结合,西北,框架结构,简装,有,44535,商品房,普通住宅,12900
54,成华,动物园,2室1厅1厨1卫,高楼层 (共20层),67.48,平层,塔楼,北,钢混结构,简装,有,44535,商品房,普通住宅,12000
55,成华,万象城,2室1厅1厨1卫,低楼层 (共24层),87.85,平层,板塔结合,东北,框架结构,简装,有,44534,商品房,普通住宅,15800
56,成华,万象城,3室1厅1厨2卫,中楼层 (共5层),124.0,平层,平房,东南,钢混结构,简装,无,44529,商品房,普通住宅,17900
57,成华,驷马桥,2室1厅1厨1卫,中楼层 (共22层),78.79,平层,板塔结合,南,钢混结构,简装,有,44534,商品房,普通住宅,12500
58,成华,成渝立交,2室1厅1厨1卫,高楼层 (共33层),62.74,平层,塔楼,南,框架结构,精装,有,44542,商品房,普通住宅,11800
59,成华,驷马桥,3室2厅2厨2卫,高楼层 (共18层),93.14,平层,板塔结合,东,钢混结构,精装,有,44533,商品房,普通住宅,18500
60,成华,东客站,1室1厅1厨1卫,高楼层 (共18层),53.41,平层,塔楼,东南,框架结构,毛坯,有,2021/12/12,经济适用房,普通住宅,6800
61,成华,动物园,2室1厅1厨1卫,高楼层 (共20层),68.58,平层,塔楼,北,框架结构,简装,有,44544,商品房,普通住宅,11700
62,成华,驷马桥,2室1厅1厨1卫,中楼层 (共6层),74.58,平层,板楼,西南 东北,砖混结构,毛坯,无,2021/12/13,拆迁安置房,普通住宅,7600
63,成华,驷马桥,3室2厅1厨1卫,低楼层 (共18层),88.57,平层,塔楼,南,框架结构,精装,有,44535,商品房,普通住宅,16800
64,成华,猛追湾,2室1厅1厨1卫,中楼层 (共7层),72.2,平层,板楼,东南,砖混结构,简装,无,2020/11/23,已购公房,普通住宅,7600
65,成华,猛追湾,3室1厅1厨1卫,中楼层 (共6层),91.91,平层,板楼,东,砖混结构,简装,无,44469,商品房,普通住宅,10900
66,成华,猛追湾,3室1厅1厨1卫,中楼层 (共7层),74.87,平层,板楼,东南,砖混结构,精装,无,2021/10/30,已购公房,普通住宅,7300
67,成华,动物园,3室1厅1厨1卫,低楼层 (共18层),84.08,平层,板塔结合,北,钢混结构,简装,有,44541,商品房,普通住宅,13700
68,成华,理工大,2室1厅1厨1卫,高楼层 (共6层),56.39,平层,板楼,东,砖混结构,简装,无,2021/12/4,已购公房,普通住宅,5300
69,成华,驷马桥,3室1厅1厨1卫,高楼层 (共18层),98.71,平层,板塔结合,东北,框架结构,精装,有,44379,经济适用房,普通住宅,14680
70,成华,驷马桥,2室1厅1厨1卫,中楼层 (共17层),77.7,平层,板塔结合,西北,钢混结构,精装,有,44357,商品房,普通住宅,14600
71,成华,新华公园,3室2厅1厨1卫,高楼层 (共6层),64.85,平层,板楼,西南 东北,钢混结构,简装,无,2021/8/31,商品房,普通住宅,5400
72,成华,驷马桥,2室1厅1厨1卫,中楼层 (共18层),81.8,平层,塔楼,北 东,框架结构,精装,有,44515,商品房,普通住宅,14300
73,成华,动物园,3室1厅1厨1卫,中楼层 (共29层),70.99,平层,板塔结合,东南,钢混结构,简装,有,44462,商品房,普通住宅,12300
74,成华,猛追湾,2室1厅1厨1卫,中楼层 (共53层),80.54,平层,塔楼,东南,钢混结构,精装,有,44510,商品房,普通住宅,10000
75,成华,动物园,3室1厅1厨1卫,中楼层 (共20层),88.09,平层,塔楼,东南,钢混结构,精装,有,44488,商品房,普通住宅,16400
76,成华,理工大,3室2厅1厨1卫,低楼层 (共32层),85.83,平层,板楼,西南 东北,钢混结构,精装,有,44452,商品房,普通住宅,18900
77,成华,李家沱,3室1厅1厨1卫,中楼层 (共7层),106.97,平层,板楼,东南,砖混结构,简装,无,44296,商品房,普通住宅,14500
78,成华,万象城,3室1厅1厨1卫,低楼层 (共32层),89.83,平层,塔楼,东,框架结构,精装,有,44460,商品房,普通住宅,20500
79,成华,龙潭寺,3室1厅1厨1卫,高楼层 (共41层),83.93,平层,板塔结合,东北,钢混结构,精装,有,44458,商品房,普通住宅,14950
80,成华,东郊记忆,3室1厅1厨2卫,高楼层 (共33层),110.61,平层,板塔结合,西北,钢混结构,精装,有,44350,商品房,普通住宅,19890
81,成华,李家沱,4室2厅1厨2卫,高楼层 (共21层),89.27,平层,塔楼,南,钢混结构,简装,有,44502,商品房,普通住宅,18600
82,成华,驷马桥,3室1厅1厨1卫,中楼层 (共20层),91.61,平层,板塔结合,东南,钢混结构,精装,有,44265,商品房,普通住宅,21800
83,成华,驷马桥,3室2厅1厨1卫,低楼层 (共22层),91.14,平层,板塔结合,东南,钢混结构,简装,有,44458,商品房,普通住宅,13300
84,成华,万象城,3室1厅1厨1卫,高楼层 (共33层),85.71,平层,塔楼,南,钢混结构,简装,有,44485,商品房,普通住宅,19200
85,成华,八里小区,3室2厅1厨2卫,高楼层 (共7层),124.22,平层,板楼,东南,混合结构,简装,无,44131,商品房,普通住宅,18900
86,成华,动物园,2室1厅1厨1卫,中楼层 (共18层),71.28,平层,板塔结合,南,钢混结构,精装,有,44524,商品房,普通住宅,11500
87,成华,万象城,2室2厅1厨1卫,低楼层 (共7层),66.85,平层,塔楼,西北,钢混结构,精装,无,2021/11/28,商品房,普通住宅,8300
88,成华,理工大,1室1厅1厨1卫,高楼层 (共22层),55.31,平层,板楼,东南,钢混结构,毛坯,有,2021/11/28,商品房,普通住宅,7500
89,成华,万象城,2室2厅1厨1卫,中楼层 (共33层),80.54,平层,塔楼,南,钢混结构,精装,有,44519,商品房,普通住宅,19500
90,成华,驷马桥,2室1厅1厨1卫,高楼层 (共19层),77.75,平层,板塔结合,东南,钢混结构,精装,有,44530,商品房,普通住宅,17500
91,成华,新华公园,2室1厅1厨1卫,中楼层 (共7层),68.19,平层,板楼,南,未知结构,简装,无,2021/11/27,商品房,普通住宅,6900
92,成华,万象城,2室1厅1厨1卫,高楼层 (共32层),68.4,平层,板塔结合,南 北,钢混结构,精装,有,44526,商品房,普通住宅,17800
93,成华,理工大,3室1厅1厨1卫,中楼层 (共41层),80.92,平层,塔楼,西北,框架结构,精装,有,44541,商品房,普通住宅,16800
94,成华,万象城,3室2厅1厨2卫,高楼层 (共26层),122.69,平层,塔楼,南 北,框架结构,简装,有,44526,商品房,普通住宅,19950
95,成华,万象城,3室2厅1厨2卫,低楼层 (共18层),105.61,平层,板塔结合,东南,框架结构,精装,有,44521,商品房,普通住宅,20900
96,成华,东郊记忆,3室2厅1厨2卫,中楼层 (共33层),132.85,平层,板塔结合,东南,钢混结构,精装,有,44531,商品房,普通住宅,23600
97,成华,龙潭寺,3室1厅1厨1卫,中楼层 (共34层),79.73,平层,板塔结合,东,钢混结构,精装,有,44530,商品房,普通住宅,15300
98,成华,新华公园,3室2厅1厨2卫,低楼层 (共8层),114.42,平层,板楼,南,钢混结构,简装,有,44523,商品房,普通住宅,15800
99,成华,李家沱,2室2厅1厨1卫,中楼层 (共21层),80.38,平层,塔楼,东北,钢混结构,精装,有,44524,商品房,普通住宅,14600
100,成华,动物园,2室1厅1厨1卫,中楼层 (共20层),70.77,平层,塔楼,西北,框架结构,简装,有,44534,商品房,普通住宅,12600
101,成华,驷马桥,1室1厅1厨1卫,中楼层 (共6层),44.71,平层,板楼,南,砖混结构,简装,无,2021/12/10,商品房,普通住宅,4400
102,成华,动物园,2室1厅1厨1卫,中楼层 (共31层),62.45,平层,塔楼,北,钢混结构,其他,有,44536,商品房,普通住宅,13000
103,成华,八里小区,3室2厅1厨1卫,中楼层 (共7层),91.0,平层,板楼,南 北,钢混结构,简装,无,44529,商品房,普通住宅,11500
104,成华,驷马桥,3室2厅1厨1卫,中楼层 (共6层),92.52,平层,板楼,南,钢混结构,简装,无,44080,商品房,普通住宅,10200
105,成华,动物园,3室1厅1厨1卫,低楼层 (共18层),87.99,平层,板塔结合,东南,钢混结构,精装,有,44457,商品房,普通住宅,14300
106,成华,驷马桥,2室1厅1厨1卫,中楼层 (共11层),54.84,平层,塔楼,东南,钢混结构,简装,有,2021/12/10,经济适用房,普通住宅,7980
107,成华,动物园,3室1厅1厨1卫,中楼层 (共27层),65.61,平层,塔楼,东南,框架结构,简装,有,44273,商品房,普通住宅,10980
108,成华,万年场,2室1厅1厨1卫,高楼层 (共33层),75.04,平层,塔楼,东南,钢混结构,毛坯,有,44499,经济适用房,普通住宅,10180
109,成华,万年场,4室2厅1厨2卫,低楼层 (共34层),140.32,平层,板塔结合,西北,钢混结构,简装,有,44434,经济适用房,普通住宅,17500
110,成华,万年场,2室2厅1厨1卫,高楼层 (共18层),72.84,平层,塔楼,东,框架结构,简装,有,2021/9/1,经济适用房,普通住宅,9200
111,成华,猛追湾,2室1厅1厨1卫,低楼层 (共7层),58.0,平层,板楼,南,砖混结构,简装,无,2021/7/8,商品房,普通住宅,6400
112,成华,万年场,2室1厅1厨1卫,中楼层 (共26层),80.71,平层,塔楼,东南,钢混结构,简装,有,44535,经济适用房,普通住宅,10500
113,成华,东郊记忆,3室1厅1厨2卫,高楼层 (共33层),90.76,平层,板塔结合,西 西北,钢混结构,精装,有,44416,商品房,普通住宅,17000
114,成华,驷马桥,1室1厅1厨1卫,中楼层 (共7层),43.42,平层,平房,西,框架结构,毛坯,无,2021/12/10,拆迁安置房,普通住宅,4350
115,成华,新华公园,3室1厅1厨1卫,高楼层 (共31层),74.76,平层,板楼,东,框架结构,简装,有,43920,商品房,普通住宅,15390
116,成华,龙潭寺,2室1厅1厨1卫,中楼层 (共33层),59.6,平层,塔楼,东,钢混结构,毛坯,有,2021/9/29,已购公房,普通住宅,7080
117,成华,龙潭寺,3室2厅1厨2卫,中楼层 (共11层),104.86,平层,板塔结合,南 北,钢混结构,精装,有,44389,商品房,普通住宅,20500
118,成华,动物园,3室2厅1厨1卫,低楼层 (共28层),72.71,平层,塔楼,西北,钢混结构,简装,有,44432,商品房,普通住宅,11800
119,成华,新华公园,3室1厅1厨1卫,中楼层 (共6层),67.0,平层,板楼,南 北,砖混结构,简装,无,2020/6/13,商品房,普通住宅,7200
120,成华,万年场,2室1厅1厨1卫,中楼层 (共14层),74.4,平层,塔楼,东,框架结构,精装,有,44432,商品房,普通住宅,12200
121,成华,万象城,3室2厅1厨2卫,高楼层 (共29层),144.76,平层,板楼,南,钢混结构,精装,有,44515,商品房,普通住宅,37500
122,成华,万年场,3室1厅1厨1卫,低楼层 (共16层),96.67,平层,板塔结合,东南,钢混结构,简装,有,44175,商品房,普通住宅,14500
123,成华,八里小区,3室2厅1厨2卫,低楼层 (共6层),119.48,错层,板楼,东南,混合结构,简装,无,44440,商品房,普通住宅,14900
124,成华,龙潭寺,3室2厅1厨1卫,中楼层 (共28层),85.29,平层,板塔结合,西,钢混结构,精装,有,44470,商品房,普通住宅,14300
125,成华,新华公园,3室1厅1厨1卫,中楼层 (共24层),85.58,平层,塔楼,东南,砖混结构,简装,有,44537,商品房,普通住宅,20300
126,成华,新华公园,3室2厅1厨1卫,中楼层 (共24层),85.58,平层,塔楼,南,砖混结构,简装,有,44390,商品房,普通住宅,19900
127,成华,理工大,3室1厅1厨1卫,低楼层 (共32层),76.47,平层,塔楼,西南,框架结构,精装,有,44493,商品房,普通住宅,13400
128,成华,八里小区,4室2厅1厨2卫,高楼层 (共7层),153.28,错层,板楼,西南,混合结构,简装,无,43976,商品房,普通住宅,13600
129,成华,驷马桥,3室2厅1厨2卫,低楼层 (共21层),102.35,平层,塔楼,西南,钢混结构,简装,有,44325,商品房,普通住宅,15000
130,成华,万年场,2室2厅1厨1卫,高楼层 (共18层),86.99,平层,板塔结合,东北,框架结构,精装,有,44541,商品房,普通住宅,12800
131,成华,理工大,2室1厅1厨1卫,高楼层 (共42层),55.25,平层,板塔结合,东南,框架结构,精装,有,44542,商品房,普通住宅,12300
132,成华,万年场,3室2厅1厨2卫,高楼层 (共16层),99.75,平层,板塔结合,东北,框架结构,简装,有,44317,商品房,普通住宅,14400
133,成华,万年场,2室2厅1厨1卫,高楼层 (共26层),74.37,平层,板塔结合,南,钢混结构,简装,有,44504,商品房,普通住宅,12500
134,成华,驷马桥,3室2厅1厨2卫,中楼层 (共18层),109.95,平层,板塔结合,南,框架结构,简装,有,44440,商品房,普通住宅,15600
135,成华,动物园,3室2厅1厨1卫,中楼层 (共18层),85.89,平层,板楼,南 北,钢混结构,简装,有,44457,商品房,普通住宅,13500
136,成华,新华公园,3室1厅1厨1卫,中楼层 (共6层),80.12,平层,板楼,东南,钢混结构,简装,无,2021/4/8,商品房,普通住宅,8100
137,成华,动物园,3室1厅1厨1卫,中楼层 (共18层),123.68,平层,塔楼,东,框架结构,精装,有,44406,商品房,普通住宅,16250
138,成华,八里小区,3室2厅1厨1卫,低楼层 (共31层),69.69,平层,塔楼,西北,框架结构,精装,有,44272,商品房,普通住宅,14800
139,成华,理工大,3室2厅1厨1卫,中楼层 (共41层),80.93,平层,塔楼,西北,框架结构,精装,有,44429,商品房,普通住宅,17800
140,成华,驷马桥,3室1厅1厨1卫,高楼层 (共20层),84.83,平层,板塔结合,东,钢混结构,精装,有,44500,商品房,普通住宅,17500
141,成华,动物园,3室1厅1厨1卫,中楼层 (共34层),72.21,平层,板塔结合,北,钢混结构,精装,有,44425,商品房,普通住宅,13900
142,成华,驷马桥,3室2厅1厨1卫,高楼层 (共22层),91.05,平层,板塔结合,西南,钢混结构,简装,有,44483,商品房,普通住宅,13200
143,成华,动物园,3室1厅1厨2卫,高楼层 (共16层),105.55,平层,塔楼,南,钢混结构,精装,有,44480,商品房,普通住宅,20500
144,成华,猛追湾,3室2厅1厨2卫,中楼层 (共32层),123.95,平层,板楼,西北,框架结构,简装,有,44478,已购公房,普通住宅,13900
145,成华,猛追湾,3室1厅1厨1卫,中楼层 (共7层),76.51,平层,板楼,南 北,砖混结构,简装,无,2021/12/12,商品房,普通住宅,9200
146,成华,李家沱,3室2厅1厨2卫,中楼层 (共11层),135.34,平层,板塔结合,东南,框架结构,精装,有,44497,商品房,普通住宅,28700
147,成华,八里小区,2室1厅1厨1卫,中楼层 (共30层),56.19,平层,塔楼,东,框架结构,精装,有,44536,商品房,普通住宅,11500
148,成华,新华公园,1室1厅1厨1卫,低楼层 (共34层),50.79,平层,塔楼,西,钢混结构,简装,有,2021/6/1,商品房,普通住宅,8200
149,成华,驷马桥,3室2厅1厨1卫,低楼层 (共21层),82.08,平层,塔楼,东南,钢混结构,精装,有,44491,商品房,普通住宅,12200
150,成华,新华公园,2室1厅1厨1卫,中楼层 (共7层),60.6,平层,板楼,东,砖混结构,精装,无,2021/7/27,商品房,普通住宅,6300
151,成华,万年场,2室1厅1厨1卫,高楼层 (共11层),88.22,平层,板塔结合,东南,钢混结构,简装,有,44256,商品房,普通住宅,11000
152,成华,万年场,2室1厅1厨1卫,高楼层 (共18层),78.51,平层,板塔结合,东南,钢混结构,简装,有,44473,商品房,普通住宅,13000
153,成华,动物园,2室2厅1厨1卫,中楼层 (共6层),73.83,平层,板楼,南,钢混结构,毛坯,无,2021/9/20,拆迁安置房,普通住宅,7900
154,成华,李家沱,2室1厅1厨1卫,高楼层 (共33层),91.46,平层,板楼,西北,框架结构,精装,有,44476,经济适用房,普通住宅,15800
155,成华,万象城,2室1厅1厨1卫,高楼层 (共32层),90.59,平层,塔楼,西,钢混结构,精装,有,44404,商品房,普通住宅,20800
156,成华,动物园,2室1厅1厨1卫,中楼层 (共18层),77.23,平层,板塔结合,东,钢混结构,精装,有,44327,商品房,普通住宅,11900
157,成华,八里小区,2室1厅1厨1卫,低楼层 (共30层),64.13,平层,塔楼,东 东北,框架结构,精装,有,44492,商品房,普通住宅,13100
158,成华,驷马桥,2室1厅1厨1卫,中楼层 (共21层),49.99,平层,板塔结合,东南,钢混结构,精装,有,2021/9/10,商品房,普通住宅,9500
159,成华,动物园,2室1厅1厨1卫,中楼层 (共29层),59.2,平层,板塔结合,东,钢混结构,简装,有,44486,商品房,普通住宅,10600
160,成华,万象城,2室2厅1厨1卫,高楼层 (共32层),76.0,平层,塔楼,东,钢混结构,简装,有,44478,商品房,普通住宅,17600
161,成华,八里小区,2室2厅1厨1卫,高楼层 (共27层),89.14,平层,塔楼,南 北,框架结构,简装,有,44462,商品房,普通住宅,13600
162,成华,新华公园,3室2厅1厨1卫,中楼层 (共26层),83.41,平层,塔楼,西北,框架结构,精装,有,44462,商品房,普通住宅,17800
163,成华,八里小区,3室2厅1厨2卫,中楼层 (共6层),109.64,平层,板楼,东南 东北,钢混结构,简装,无,44512,商品房,普通住宅,14200
164,成华,驷马桥,3室1厅1厨1卫,中楼层 (共22层),90.82,平层,板塔结合,东北,钢混结构,精装,有,44495,商品房,普通住宅,14900
165,成华,理工大,3室1厅1厨1卫,高楼层 (共28层),69.81,平层,板塔结合,西南,钢混结构,精装,有,44461,商品房,普通住宅,14700
166,成华,驷马桥,3室2厅1厨2卫,高楼层 (共21层),97.85,平层,板塔结合,东南,钢混结构,精装,有,44439,商品房,普通住宅,17900
167,成华,驷马桥,3室1厅1厨1卫,高楼层 (共11层),92.1,平层,板楼,东,钢混结构,简装,有,44495,经济适用房,普通住宅,11600
168,成华,龙潭寺,2室2厅1厨1卫,中楼层 (共29层),71.13,平层,板塔结合,南,钢混结构,精装,有,2021/12/1,经济适用房,普通住宅,9800
169,成华,万象城,1室1厅1厨1卫,高楼层 (共18层),45.04,平层,塔楼,东南 东,框架结构,简装,有,2021/11/29,商品房,普通住宅,7500
170,成华,新华公园,2室1厅1厨1卫,中楼层 (共27层),73.19,平层,塔楼,东南,钢混结构,简装,有,44528,商品房,普通住宅,13500
171,成华,万象城,2室1厅1厨1卫,中楼层 (共7层),80.23,平层,板楼,东 东南,混合结构,简装,无,44527,商品房,普通住宅,10300
172,成华,八里小区,2室2厅1厨1卫,低楼层 (共7层),77.14,平层,板楼,南,混合结构,精装,无,44519,商品房,普通住宅,12000
173,成华,万年场,2室1厅1厨1卫,低楼层 (共6层),71.89,平层,板楼,南,钢混结构,毛坯,无,2021/11/22,商品房,普通住宅,7980
174,成华,驷马桥,2室2厅1厨1卫,中楼层 (共18层),70.13,平层,塔楼,东,钢混结构,简装,有,44521,商品房,普通住宅,11680
175,成华,万年场,2室1厅1厨1卫,中楼层 (共34层),87.53,平层,板塔结合,西南,钢混结构,精装,有,44529,经济适用房,普通住宅,12400
176,成华,驷马桥,2室1厅1厨2卫,中楼层 (共17层),87.78,平层,板楼,东,钢混结构,精装,有,44381,商品房,普通住宅,11300
177,成华,动物园,3室2厅1厨1卫,中楼层 (共18层),72.54,平层,塔楼,南,钢混结构,精装,有,44518,商品房,普通住宅,11800
178,成华,理工大,3室1厅1厨1卫,中楼层 (共34层),69.31,平层,塔楼,南,框架结构,精装,有,44524,商品房,普通住宅,12500
179,成华,万年场,1室2厅1厨1卫,中楼层 (共12层),51.0,平层,塔楼,东南,钢混结构,简装,有,2021/11/27,商品房,普通住宅,6880
180,成华,动物园,2室1厅1厨1卫,中楼层 (共18层),77.67,平层,塔楼,东,框架结构,简装,有,44436,商品房,普通住宅,10900
181,成华,驷马桥,1室1厅1厨1卫,中楼层 (共5层),45.74,平层,板楼,东南,混合结构,简装,无,2021/9/17,已购公房,普通住宅,3750
182,成华,万年场,1室1厅1厨1卫,低楼层 (共33层),47.59,平层,板塔结合,东北,钢混结构,精装,有,2021/10/25,限价商品房,普通住宅,6400
183,成华,新华公园,2室2厅1厨1卫,中楼层 (共7层),89.34,平层,板楼,东,混合结构,简装,无,44481,商品房,普通住宅,13600
184,成华,万象城,1室1厅1厨1卫,低楼层 (共17层),49.07,平层,塔楼,东北,框架结构,精装,有,44325,商品房,普通住宅,11400
