序号,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途,单价（元/平方米）
7327,金牛,金牛万达,2室1厅1厨1卫,中楼层 (共32层),74.39,平层,塔楼,南,钢混结构,简装,有,44538,商品房,普通住宅,13900
7328,金牛,天回镇,3室1厅1厨1卫,中楼层 (共28层),98.68,平层,板楼,东,框架结构,毛坯,有,44518,商品房,普通住宅,13100
7329,金牛,茶店子,3室2厅1厨2卫,中楼层 (共5层),152.0,跃层,板楼,东南,钢结构,精装,无,44542,商品房,普通住宅,23900
7330,金牛,五块石,2室2厅1厨1卫,低楼层 (共22层),85.18,平层,塔楼,东,钢混结构,简装,有,2021/9/15,商品房,普通住宅,9900
7331,金牛,金牛万达,3室1厅1厨1卫,高楼层 (共32层),89.0,平层,塔楼,南,钢混结构,简装,有,44463,商品房,普通住宅,17600
7332,金牛,金牛万达,3室1厅1厨2卫,高楼层 (共26层),95.83,平层,板楼,西北,钢混结构,简装,有,44482,商品房,普通住宅,20600
7333,金牛,金牛万达,3室2厅1厨2卫,中楼层 (共26层),99.9,平层,板楼,南 西南,钢混结构,精装,有,44434,商品房,普通住宅,20390
7334,金牛,金牛万达,2室1厅1厨1卫,中楼层 (共8层),64.2,平层,板楼,东,混合结构,简装,无,2021/12/3,商品房,普通住宅,5700
7335,金牛,金牛万达,3室1厅1厨2卫,中楼层 (共33层),136.33,平层,塔楼,东南,钢混结构,精装,有,44538,商品房,普通住宅,29500
7336,金牛,营门口,3室1厅1厨1卫,低楼层 (共7层),105.16,平层,板楼,东南,砖混结构,简装,无,44489,商品房,普通住宅,10600
7337,金牛,西南交大,3室2厅1厨2卫,高楼层 (共7层),135.47,错层,板楼,南,钢混结构,简装,无,44300,商品房,普通住宅,13500
7338,金牛,国宾,3室1厅1厨2卫,高楼层 (共31层),96.0,平层,塔楼,东南,框架结构,毛坯,有,44474,商品房,普通住宅,18700
7339,金牛,金牛万达,3室1厅1厨1卫,低楼层 (共32层),91.22,平层,塔楼,东,钢混结构,简装,有,44401,商品房,普通住宅,17600
7340,金牛,金府,3室1厅1厨2卫,低楼层 (共22层),97.76,平层,塔楼,西南,框架结构,精装,有,44250,商品房,普通住宅,14900
7341,金牛,一品天下,3室1厅1厨1卫,高楼层 (共7层),82.79,平层,板楼,东南,砖混结构,简装,无,2021/9/25,已购公房,普通住宅,8800
7342,金牛,沙湾,3室1厅1厨1卫,高楼层 (共6层),73.6,平层,板楼,东南,砖混结构,简装,无,2021/6/27,商品房,普通住宅,6400
7343,金牛,西南交大,3室2厅1厨1卫,低楼层 (共7层),108.01,平层,板楼,东南,钢混结构,简装,无,43862,商品房,普通住宅,14000
7344,金牛,营门口,3室2厅1厨2卫,高楼层 (共33层),120.12,平层,板塔结合,西南,钢混结构,精装,有,44416,商品房,普通住宅,22900
7345,金牛,金牛万达,3室1厅1厨2卫,高楼层 (共7层),115.19,平层,板楼,东南 南,砖混结构,简装,无,44496,商品房,普通住宅,10500
7346,金牛,五块石,3室1厅1厨2卫,中楼层 (共22层),110.96,平层,板塔结合,南,钢混结构,简装,有,44462,商品房,普通住宅,13500
