,类别,行政区,点评数,口味,环境,服务,人均消费
5286,快餐,K,73.0,6.7,7.3,7.3,52.0
5290,甜点,K,59.0,7.8,7.7,7.7,17.0
5293,浙菜,K,33.0,7.3,6.8,7.1,42.0
5294,啡厅,K,10.0,7.2,7.2,7.3,20.0
5296,烧烤,K,14.0,7.1,7.1,7.2,19.0
5297,美食,K,113.0,7.2,7.2,7.3,355.0
5304,烧烤,K,25.0,7.6,7.4,7.5,53.0
5306,北菜,K,18.0,7.0,6.8,7.0,55.0
5307,火锅,K,81.0,8.7,8.4,8.9,46.0
5308,西餐,K,163.0,7.4,7.3,7.4,52.0
5309,烧烤,K,29.0,6.9,6.9,6.8,51.0
5310,浙菜,K,293.0,7.0,7.6,7.2,204.0
5311,亚菜,K,499.0,8.3,8.1,8.4,37.0
5312,火锅,K,19.0,7.8,7.8,7.8,85.0
5314,川菜,K,8.0,7.0,7.0,7.0,30.0
5318,火锅,K,306.0,7.4,6.9,6.9,105.0
5319,北菜,K,93.0,7.7,7.9,8.1,69.0
5320,龙虾,K,146.0,7.0,6.9,6.9,89.0
5325,湘菜,K,15.0,7.4,7.1,7.1,36.0
5326,浙菜,K,294.0,7.6,7.3,7.2,99.0
5327,烧烤,K,58.0,7.3,7.1,7.2,52.0
5328,浙菜,K,60.0,7.2,7.2,7.2,71.0
5332,快餐,K,10.0,7.1,7.0,7.2,15.0
5333,火锅,K,759.0,9.1,9.0,9.1,100.0
5335,快餐,K,12.0,7.4,7.4,7.4,21.0
5336,火锅,K,18.0,7.2,7.1,7.3,34.0
5342,快餐,K,110.0,8.3,8.7,8.4,35.0
5344,火锅,K,47.0,7.6,7.4,7.4,67.0
5345,甜点,K,81.0,8.2,8.2,8.5,17.0
5347,烧烤,K,22.0,6.6,6.8,6.6,35.0
5349,粤菜,K,182.0,6.5,6.8,6.6,107.0
5350,快餐,K,931.0,8.0,7.6,7.4,40.0
5351,火锅,K,209.0,7.6,6.6,7.2,79.0
5352,疆菜,K,20.0,7.7,7.3,7.7,44.0
5353,北菜,K,4.0,6.7,6.9,6.9,26.0
5354,啡厅,K,36.0,7.2,7.2,7.2,23.0
5356,海鲜,K,358.0,8.4,7.6,8.2,149.0
5359,烧烤,K,367.0,9.0,8.2,8.7,99.0
5360,啡厅,K,35.0,6.8,7.2,6.9,23.0
5362,甜点,K,81.0,8.0,8.1,7.7,43.0
5363,北菜,K,29.0,6.5,6.4,6.6,51.0
5364,州菜,K,421.0,7.1,5.6,6.4,37.0
5365,快餐,K,39.0,7.6,7.3,7.4,31.0
5367,西餐,K,41.0,7.4,7.4,7.2,100.0
5369,甜点,K,126.0,8.2,8.1,8.0,81.0
5370,北菜,K,10.0,7.1,7.0,7.0,36.0
5374,烧烤,K,21.0,6.7,6.7,6.7,40.0
5375,甜点,K,47.0,7.3,7.1,7.3,19.0
5376,亚菜,K,205.0,7.6,7.3,7.6,123.0
5377,西餐,K,496.0,8.7,8.6,9.0,155.0
