,类别,行政区,点评数,口味,环境,服务,人均消费
0,烧烤,K,176.0,8.0,8.6,7.9,124.0
2,粤菜,K,141.0,6.7,7.2,6.6,141.0
3,海鲜,K,76.0,7.2,7.2,7.3,148.0
4,烧烤,K,600.0,7.2,7.6,7.0,143.0
5,本菜,J,69.0,8.2,8.9,8.4,66.0
7,浙菜,K,21.0,7.0,7.0,6.9,146.0
8,海鲜,K,46.0,6.1,6.2,6.0,77.0
10,浙菜,K,54.0,7.1,7.1,7.0,50.0
11,快餐,K,50.0,6.8,7.0,6.9,31.0
12,西餐,K,1321.0,8.5,8.3,7.8,70.0
14,西餐,K,636.0,7.6,9.1,8.0,68.0
17,粤菜,K,1421.0,7.4,7.7,7.5,108.0
18,料理,K,251.0,7.7,7.4,7.8,83.0
19,海鲜,K,336.0,7.5,7.5,7.3,121.0
23,浙菜,K,302.0,7.2,7.0,6.8,75.0
26,浙菜,K,243.0,7.9,7.5,7.3,64.0
27,啡厅,K,121.0,6.6,6.9,6.6,55.0
28,快餐,K,41.0,6.5,6.5,6.5,28.0
29,料理,K,62.0,7.7,7.7,7.7,92.0
30,粤菜,K,115.0,6.2,6.3,6.4,77.0
31,火锅,K,259.0,6.8,6.9,6.8,92.0
32,湘菜,K,606.0,7.2,7.3,7.2,64.0
33,浙菜,K,335.0,6.9,7.2,7.1,78.0
37,海鲜,K,43.0,7.3,7.3,7.4,95.0
42,美食,K,19.0,7.0,6.9,7.0,52.0
44,火锅,K,483.0,8.4,8.3,8.4,94.0
46,助餐,K,60.0,7.0,7.7,7.6,282.0
49,啡厅,K,166.0,7.0,7.6,6.9,81.0
50,助餐,K,25.0,6.6,7.1,7.2,77.0
57,料理,K,2.0,7.0,7.0,7.0,39.0
59,海鲜,K,119.0,7.2,7.1,7.3,70.0
60,川菜,K,62.0,6.8,6.8,6.6,80.0
70,浙菜,K,18.0,7.3,7.4,7.4,73.0
74,川菜,K,34.0,6.9,7.1,6.5,36.0
77,快餐,K,2.0,7.7,6.9,6.9,18.0
78,西餐,K,78.0,7.5,7.5,7.4,49.0
81,啡厅,K,7.0,6.8,7.2,7.1,26.0
82,火锅,K,16.0,6.4,6.4,6.1,56.0
85,烧烤,K,1.0,6.9,6.9,6.9,30.0
89,啡厅,K,7.0,7.5,7.5,7.5,22.0
90,快餐,K,24.0,7.6,7.5,7.6,15.0
91,美食,K,14.0,7.7,7.6,7.7,16.0
94,火锅,K,139.0,8.3,8.3,8.2,112.0
95,烧烤,K,6.0,7.3,7.3,7.4,30.0
97,浙菜,K,36.0,6.9,7.0,6.7,104.0
101,火锅,K,36.0,7.5,7.4,7.2,113.0
102,火锅,K,117.0,6.9,7.0,6.6,103.0
103,快餐,K,42.0,7.9,8.2,8.1,24.0
104,快餐,K,10.0,7.6,7.7,7.5,36.0
105,料理,K,46.0,6.3,6.7,6.2,43.0
106,西餐,K,17.0,6.9,7.0,6.4,74.0
107,甜点,K,29.0,7.7,7.7,7.5,22.0
112,烧烤,K,182.0,7.0,6.9,6.9,43.0
113,西餐,K,273.0,8.2,8.2,8.2,48.0
115,海鲜,K,23.0,7.4,6.9,7.2,77.0
116,西餐,K,58.0,7.6,7.7,7.2,83.0
118,快餐,K,20.0,7.3,7.2,7.3,17.0
119,川菜,K,7.0,7.5,7.4,7.6,64.0
120,烧烤,K,9.0,6.8,6.7,6.8,30.0
124,美食,K,7.0,7.1,7.2,7.2,11.0
126,烧烤,K,8.0,7.3,7.3,7.3,19.0
127,本菜,K,30.0,7.2,7.4,7.1,65.0
128,川菜,K,59.0,6.8,6.9,6.8,52.0
130,湘菜,K,14.0,7.2,7.0,7.2,38.0
132,北菜,K,129.0,7.5,6.9,7.4,44.0
133,疆菜,K,26.0,7.2,6.9,7.1,29.0
135,川菜,K,8.0,7.3,7.1,7.2,55.0
136,烧烤,K,17.0,6.5,6.6,6.6,84.0
141,火锅,K,63.0,7.8,7.8,8.0,63.0
142,快餐,K,254.0,8.2,7.8,8.0,21.0
144,快餐,K,12.0,7.0,6.6,6.9,14.0
145,快餐,K,10.0,7.1,6.9,6.7,15.0
146,烧烤,K,9.0,7.3,7.3,7.0,34.0
149,美食,K,48.0,7.0,6.9,7.0,44.0
151,西餐,K,349.0,8.5,8.4,8.4,78.0
154,火锅,K,124.0,7.3,7.3,7.3,51.0
156,美食,K,6.0,7.5,7.7,7.3,13.0
157,烧烤,K,201.0,7.5,7.2,7.6,51.0
158,甜点,K,46.0,7.8,8.2,8.0,15.0
159,快餐,K,9.0,7.3,7.2,7.3,16.0
161,川菜,K,333.0,8.6,7.9,8.2,64.0
162,火锅,K,164.0,7.2,7.3,7.4,68.0
166,火锅,K,19.0,6.9,6.8,7.0,58.0
171,美食,K,14.0,7.2,7.1,7.1,10.0
172,川菜,K,53.0,7.3,7.2,7.3,22.0
173,北菜,K,18.0,6.9,6.9,7.0,66.0
174,啡厅,K,38.0,7.1,7.1,6.9,25.0
177,浙菜,K,1564.0,7.0,7.8,6.6,98.0
183,川菜,K,14.0,7.2,7.2,7.0,37.0
184,本菜,K,36.0,6.9,7.8,7.9,105.0
185,浙菜,K,338.0,8.4,7.1,7.3,148.0
188,啡厅,K,4.0,6.8,6.9,6.9,10.0
192,浙菜,K,204.0,8.1,8.2,7.9,110.0
194,浙菜,K,284.0,8.0,7.5,7.9,77.0
209,海鲜,K,31.0,6.9,7.0,6.9,68.0
214,浙菜,K,80.0,7.1,7.0,7.0,85.0
219,海鲜,K,42.0,7.4,7.1,7.2,81.0
224,海鲜,K,39.0,7.8,7.5,7.7,120.0
225,海鲜,K,149.0,7.3,6.8,6.8,124.0
227,快餐,I,19.0,7.4,7.3,7.4,10.0
228,海鲜,K,136.0,7.5,7.2,7.5,75.0
229,海鲜,K,51.0,7.4,6.9,7.0,100.0
232,海鲜,K,8.0,7.1,6.7,6.8,44.0
233,海鲜,K,6.0,7.1,7.2,7.4,90.0
235,海鲜,K,42.0,6.8,6.8,6.8,71.0
238,浙菜,K,52.0,8.4,7.9,8.4,86.0
239,西餐,K,14.0,8.0,8.0,8.0,38.0
240,海鲜,K,613.0,8.4,7.6,7.3,150.0
249,海鲜,K,26.0,6.6,6.7,6.8,76.0
254,快餐,K,4.0,7.0,6.8,6.9,12.0
258,烧烤,K,1.0,6.9,6.9,6.9,19.0
263,湘菜,K,5.0,7.2,6.9,7.2,30.0
264,快餐,K,13.0,6.9,6.7,6.7,17.0
266,火锅,K,28.0,7.1,7.1,7.1,76.0
270,西餐,K,46.0,7.2,7.2,7.1,34.0
271,啡厅,K,73.0,7.3,7.5,7.4,42.0
273,西餐,K,67.0,6.9,7.1,7.0,131.0
274,啡厅,K,35.0,7.6,7.7,7.7,32.0
275,海鲜,K,14.0,7.1,7.1,7.1,75.0
277,湘菜,K,60.0,7.1,7.1,7.2,54.0
278,粤菜,K,19.0,7.1,7.0,7.0,29.0
280,浙菜,K,325.0,7.5,8.3,7.5,59.0
285,美食,K,36.0,7.7,7.9,7.7,69.0
287,浙菜,K,44.0,6.8,6.8,6.3,108.0
288,蟹宴,K,19.0,6.7,6.8,6.7,74.0
289,浙菜,K,26.0,7.2,7.3,7.2,73.0
290,川菜,K,107.0,8.2,8.1,8.0,79.0
291,川菜,K,99.0,7.5,7.4,7.4,62.0
292,川菜,K,23.0,6.8,6.9,6.9,47.0
293,粤菜,K,99.0,6.8,7.0,6.9,87.0
294,湘菜,K,300.0,7.0,7.3,6.6,78.0
295,火锅,K,68.0,7.9,7.7,7.4,76.0
296,火锅,K,229.0,7.7,7.4,7.7,80.0
297,火锅,K,184.0,7.5,7.7,7.2,100.0
299,火锅,K,510.0,6.9,7.3,7.2,96.0
300,火锅,K,51.0,7.1,6.9,7.0,74.0
301,火锅,K,41.0,7.1,7.1,7.1,50.0
302,本菜,K,168.0,7.3,7.3,7.3,61.0
303,本菜,K,11.0,6.9,7.0,7.0,34.0
304,料理,K,182.0,7.1,7.2,7.2,69.0
305,料理,K,197.0,7.3,7.9,7.5,61.0
306,料理,K,187.0,6.5,6.8,6.6,51.0
308,西餐,K,103.0,7.1,7.3,7.1,39.0
309,快餐,K,72.0,7.4,7.4,7.5,33.0
310,西餐,K,104.0,6.2,6.5,6.5,77.0
311,西餐,K,11.0,6.0,6.6,6.4,50.0
312,美食,K,135.0,7.5,7.4,7.5,89.0
313,啡厅,K,24.0,7.0,7.4,7.2,17.0
315,快餐,K,119.0,7.5,7.8,7.8,33.0
317,快餐,K,45.0,7.2,7.0,7.2,13.0
320,海鲜,K,15.0,7.5,7.4,7.4,29.0
326,料理,K,8.0,6.9,6.9,7.2,62.0
327,甜点,K,6.0,7.9,8.0,7.9,19.0
334,烧烤,K,10.0,7.2,6.9,7.2,46.0
339,甜点,K,7.0,7.3,7.1,7.1,10.0
345,浙菜,K,41.0,7.1,6.8,7.1,41.0
347,烧烤,K,5.0,7.3,7.1,7.3,34.0
351,粤菜,K,320.0,6.2,6.7,6.3,88.0
352,湘菜,K,235.0,7.4,7.3,7.2,34.0
353,湾菜,K,597.0,7.7,8.4,8.3,37.0
354,快餐,K,384.0,8.1,8.1,7.9,37.0
355,快餐,K,58.0,7.6,7.6,7.5,41.0
356,快餐,K,163.0,7.3,7.3,7.3,28.0
357,快餐,K,177.0,6.7,6.9,6.8,34.0
358,快餐,K,299.0,7.0,7.3,7.0,38.0
359,快餐,K,361.0,6.9,6.9,6.9,36.0
360,本菜,K,974.0,6.1,6.0,5.4,57.0
362,啡厅,K,339.0,7.8,7.5,7.5,41.0
363,甜点,K,81.0,7.7,7.5,7.8,20.0
364,美食,K,53.0,6.6,6.7,6.2,116.0
367,啡厅,K,117.0,7.1,7.4,7.2,37.0
368,啡厅,K,67.0,7.0,7.0,6.8,49.0
369,啡厅,K,40.0,6.5,6.6,6.5,79.0
373,粤菜,K,273.0,6.3,6.6,5.9,55.0
374,料理,K,87.0,6.7,6.9,6.8,55.0
375,西餐,K,170.0,6.3,6.5,6.4,62.0
376,啡厅,K,269.0,7.8,7.5,7.4,39.0
377,啡厅,K,63.0,7.5,7.4,7.4,43.0
378,甜点,K,42.0,7.6,7.6,7.3,17.0
381,啡厅,K,155.0,7.3,7.5,7.3,56.0
382,啡厅,K,16.0,6.7,7.0,7.0,83.0
385,快餐,K,1148.0,7.4,7.4,7.1,39.0
386,粤菜,K,46.0,6.1,7.1,6.5,75.0
389,西餐,K,29.0,6.8,7.1,6.9,65.0
390,啡厅,K,448.0,8.1,7.8,7.6,40.0
391,啡厅,K,32.0,7.4,7.2,7.3,36.0
393,啡厅,K,48.0,7.2,7.1,7.1,42.0
395,啡厅,K,141.0,7.4,7.5,7.4,49.0
396,啡厅,K,19.0,6.8,6.8,6.7,95.0
398,快餐,K,2.0,7.0,7.0,7.0,15.0
413,啡厅,K,18.0,6.5,6.6,6.4,39.0
415,快餐,K,167.0,7.5,7.5,7.5,45.0
417,浙菜,K,49.0,6.6,6.9,6.5,96.0
419,浙菜,K,453.0,5.8,6.2,5.3,100.0
420,粤菜,K,248.0,6.1,6.6,6.4,82.0
422,快餐,K,85.0,7.3,7.5,7.1,43.0
423,啡厅,K,65.0,7.5,7.7,7.4,67.0
424,西餐,K,48.0,7.2,7.2,6.9,56.0
426,甜点,K,34.0,7.4,7.6,7.5,37.0
427,甜点,K,83.0,6.8,6.8,6.7,43.0
428,美食,K,75.0,7.4,7.4,7.1,80.0
433,甜点,K,117.0,6.3,6.6,6.4,12.0
438,啡厅,K,73.0,7.9,8.0,7.8,73.0
442,粤菜,K,379.0,8.3,8.0,7.9,70.0
443,粤菜,K,223.0,8.1,8.4,7.8,60.0
444,粤菜,K,41.0,7.6,8.0,7.5,65.0
445,粤菜,K,47.0,6.6,6.8,6.8,50.0
446,快餐,K,102.0,8.2,8.3,8.4,51.0
447,快餐,K,237.0,7.8,7.5,7.6,35.0
448,快餐,K,130.0,7.5,7.4,7.2,33.0
449,快餐,K,159.0,7.3,7.3,7.2,51.0
452,本菜,K,51.0,6.9,7.1,7.1,93.0
453,料理,K,72.0,7.1,7.1,7.1,40.0
454,西餐,K,114.0,7.4,7.4,7.2,31.0
455,啡厅,K,35.0,7.6,7.3,7.2,40.0
456,美食,K,111.0,6.1,6.5,5.9,49.0
458,啡厅,K,136.0,7.5,7.7,7.3,65.0
459,啡厅,K,28.0,7.0,7.1,7.2,35.0
460,啡厅,K,34.0,6.8,6.9,6.8,75.0
461,啡厅,K,173.0,7.4,7.6,7.6,52.0
462,啡厅,A,8.0,7.4,7.5,7.4,56.0
465,甜点,K,23.0,7.7,7.7,7.7,95.0
468,浙菜,K,76.0,7.0,7.5,7.3,80.0
471,美食,K,49.0,8.3,8.4,7.7,71.0
475,浙菜,G,30.0,7.0,7.0,7.1,8.0
480,川菜,K,12.0,7.0,6.7,6.7,26.0
482,川菜,K,62.0,7.3,6.9,6.9,27.0
483,美食,K,28.0,7.1,7.3,7.2,62.0
484,快餐,K,3.0,7.4,7.4,7.4,23.0
485,甜点,K,695.0,8.4,7.2,8.2,8.0
486,烧烤,K,44.0,6.9,6.7,6.8,34.0
487,烧烤,K,1.0,7.0,7.0,7.0,13.0
490,烧烤,K,123.0,6.9,6.9,7.0,43.0
492,甜点,K,16.0,7.5,7.5,7.5,20.0
495,料理,K,4.0,7.0,7.0,7.0,15.0
496,火锅,K,28.0,7.1,7.2,6.9,67.0
500,川菜,K,3.0,7.0,6.9,6.9,13.0
501,美食,K,16.0,7.4,7.7,7.7,19.0
506,川菜,K,20.0,7.1,7.0,7.0,26.0
508,啡厅,K,69.0,7.8,7.8,7.8,31.0
511,浙菜,K,85.0,7.1,7.3,7.1,100.0
512,浙菜,K,57.0,7.3,7.6,7.3,167.0
515,甜点,K,17.0,7.7,7.5,7.7,24.0
516,啡厅,K,26.0,8.0,8.2,8.3,50.0
517,粤菜,K,1475.0,7.6,8.0,8.0,92.0
518,烧烤,K,42.0,7.3,7.5,7.3,135.0
521,西餐,K,127.0,7.5,7.5,7.4,56.0
522,啡厅,K,35.0,7.3,7.4,7.4,55.0
523,浙菜,K,13.0,7.0,7.0,7.0,40.0
524,川菜,K,557.0,8.0,8.0,7.9,67.0
525,本菜,K,144.0,7.5,7.6,8.4,74.0
529,啡厅,K,14.0,7.5,7.6,7.7,20.0
530,美食,K,307.0,7.9,8.1,7.8,82.0
534,美食,K,9.0,7.4,7.4,7.4,65.0
537,西餐,K,107.0,7.1,7.1,7.1,23.0
539,粤菜,K,3400.0,7.6,7.8,7.4,80.0
540,快餐,K,136.0,7.0,6.9,6.8,23.0
541,火锅,K,224.0,8.6,8.7,8.4,90.0
545,浙菜,K,329.0,8.0,8.0,7.7,83.0
547,川菜,K,32.0,6.9,6.5,6.8,34.0
548,川菜,K,357.0,8.6,8.5,8.0,79.0
550,烧烤,K,59.0,7.3,7.4,6.5,113.0
551,烧烤,K,9.0,6.9,6.9,6.8,38.0
552,料理,K,1.0,7.0,7.0,7.0,19.0
555,火锅,K,1454.0,8.4,8.3,8.4,81.0
557,火锅,K,169.0,8.8,8.5,8.7,61.0
558,火锅,K,68.0,6.6,6.5,6.5,72.0
559,本菜,K,107.0,6.5,6.9,6.6,97.0
561,海鲜,K,751.0,7.7,7.6,7.8,98.0
562,火锅,K,21.0,8.3,8.3,8.4,71.0
563,浙菜,K,29.0,7.3,7.6,7.5,127.0
564,海鲜,K,83.0,7.1,6.9,6.9,100.0
565,浙菜,K,296.0,7.6,7.7,7.8,150.0
566,浙菜,K,8.0,6.8,6.8,6.8,85.0
567,美食,K,217.0,7.9,7.4,7.4,76.0
568,湘菜,K,101.0,7.6,7.8,7.5,70.0
569,火锅,K,3749.0,8.9,8.9,8.7,78.0
571,快餐,K,67.0,6.8,7.5,7.0,17.0
572,啡厅,K,32.0,7.3,7.4,7.3,45.0
574,湘菜,K,3.0,7.3,7.2,7.3,62.0
575,烧烤,K,340.0,7.0,7.1,7.1,59.0
577,快餐,K,2.0,7.3,7.3,7.3,18.0
579,浙菜,K,28.0,7.4,7.2,7.4,69.0
580,烧烤,K,563.0,8.1,7.7,8.1,84.0
583,火锅,K,164.0,8.2,8.1,8.5,70.0
584,火锅,K,792.0,7.3,7.4,7.0,97.0
586,川菜,K,44.0,7.2,7.1,7.3,56.0
587,快餐,K,114.0,8.0,7.8,7.9,39.0
589,火锅,K,408.0,7.7,8.4,8.1,132.0
591,快餐,K,1.0,7.0,6.9,7.0,16.0
594,美食,K,16.0,6.9,6.9,6.9,88.0
595,疆菜,K,16.0,7.3,7.2,7.5,53.0
596,火锅,K,166.0,8.4,7.7,7.6,73.0
597,烧烤,K,134.0,6.9,7.2,6.6,96.0
599,快餐,K,25.0,7.5,7.2,7.3,17.0
602,川菜,K,3.0,7.4,7.1,7.3,35.0
603,火锅,K,391.0,8.0,7.6,7.5,52.0
608,甜点,K,45.0,7.4,7.5,7.4,21.0
609,川菜,K,15.0,7.4,7.4,7.4,27.0
610,甜点,K,49.0,7.3,7.4,7.3,20.0
611,火锅,K,119.0,7.0,6.8,6.7,93.0
612,海鲜,K,118.0,7.1,7.1,7.0,110.0
613,甜点,K,665.0,8.0,8.2,7.9,49.0
619,西餐,K,196.0,7.6,7.5,7.6,31.0
621,甜点,K,47.0,7.2,7.0,6.9,30.0
622,火锅,K,54.0,7.1,7.1,7.3,59.0
624,美食,K,11.0,6.8,6.7,7.0,34.0
628,浙菜,K,87.0,6.9,6.8,6.9,67.0
630,北菜,K,3.0,7.0,6.9,7.0,68.0
633,美食,K,2.0,7.4,7.3,7.3,43.0
634,啡厅,K,23.0,7.1,7.4,7.3,48.0
639,火锅,K,63.0,8.0,7.7,7.2,81.0
641,快餐,K,19.0,7.2,7.0,7.1,11.0
643,快餐,K,13.0,6.5,6.7,6.6,14.0
644,浙菜,K,31.0,7.4,7.2,7.3,40.0
651,烧烤,K,74.0,7.3,7.0,7.1,37.0
653,浙菜,K,282.0,7.3,7.4,7.3,126.0
654,海鲜,K,39.0,6.9,6.8,6.9,113.0
656,海鲜,K,31.0,7.2,6.8,7.0,110.0
657,川菜,K,2.0,7.0,6.9,7.0,29.0
658,北菜,K,14.0,7.3,6.9,7.1,42.0
663,海鲜,K,79.0,7.1,7.3,7.1,84.0
667,火锅,K,5.0,7.0,6.8,7.1,18.0
671,甜点,K,16.0,7.1,7.0,7.0,10.0
673,浙菜,K,754.0,7.9,8.4,7.9,66.0
674,川菜,K,128.0,6.5,6.8,6.5,75.0
675,粤菜,K,3471.0,7.7,8.0,7.5,80.0
676,湾菜,K,271.0,5.7,6.3,6.1,55.0
678,快餐,K,145.0,8.2,8.2,8.1,23.0
679,快餐,K,85.0,7.2,7.2,7.4,37.0
681,西餐,K,877.0,7.3,7.8,6.9,164.0
682,快餐,K,44.0,7.5,7.5,7.4,36.0
683,甜点,K,221.0,8.5,8.5,7.6,77.0
684,甜点,K,153.0,7.9,7.6,7.6,75.0
685,啡厅,K,223.0,7.8,7.8,7.5,40.0
686,啡厅,K,120.0,7.1,7.3,7.0,39.0
691,浙菜,K,158.0,6.9,7.3,7.0,75.0
693,浙菜,K,494.0,7.3,7.0,6.8,30.0
694,本菜,K,623.0,7.0,7.6,7.2,167.0
695,快餐,K,4.0,7.6,7.6,7.6,17.0
698,烧烤,K,22.0,7.6,7.5,7.6,64.0
700,常菜,K,40.0,7.3,7.2,7.4,42.0
704,快餐,K,15.0,7.4,7.4,7.3,30.0
706,啡厅,K,171.0,8.1,8.1,8.0,39.0
708,川菜,K,361.0,7.4,7.3,7.3,95.0
709,火锅,K,277.0,7.5,7.6,7.3,75.0
710,本菜,K,39.0,6.6,6.9,6.6,35.0
711,西餐,K,1201.0,7.7,7.8,7.6,73.0
715,西餐,A,35.0,7.8,7.7,7.7,25.0
717,蟹宴,K,85.0,7.7,7.9,7.3,63.0
718,助餐,K,158.0,7.4,7.2,7.4,59.0
721,甜点,K,55.0,7.8,8.0,8.0,14.0
725,快餐,K,230.0,8.0,8.0,7.8,27.0
728,助餐,K,929.0,8.6,8.3,8.0,206.0
730,助餐,K,364.0,6.9,7.1,6.7,97.0
733,快餐,K,8.0,7.1,6.9,7.1,25.0
736,甜点,K,69.0,6.8,6.8,6.7,16.0
737,火锅,K,406.0,6.9,7.5,7.2,67.0
739,美食,K,22.0,6.9,6.8,7.0,26.0
742,浙菜,K,55.0,7.3,7.0,7.2,45.0
744,浙菜,K,48.0,7.5,7.9,7.6,56.0
745,料理,K,275.0,8.0,7.6,8.1,66.0
748,川菜,K,25.0,6.9,6.7,6.9,48.0
749,火锅,K,33.0,7.4,7.3,7.4,73.0
750,湘菜,K,32.0,6.9,6.8,6.8,72.0
752,火锅,K,130.0,7.6,7.7,7.7,29.0
754,啡厅,K,152.0,7.8,8.2,7.6,86.0
757,龙虾,K,63.0,7.4,7.1,7.4,61.0
759,粤菜,K,13.0,7.2,7.3,7.3,32.0
760,川菜,K,62.0,7.1,6.8,6.9,44.0
765,快餐,K,6.0,6.9,6.6,6.9,19.0
767,啡厅,K,55.0,7.0,7.3,7.2,40.0
769,浙菜,K,55.0,6.8,6.9,6.7,77.0
770,本菜,K,22.0,7.2,7.3,7.2,36.0
771,海鲜,K,110.0,7.3,7.3,7.2,100.0
772,快餐,K,171.0,7.8,7.6,7.9,18.0
774,火锅,K,399.0,8.9,8.6,8.8,91.0
775,火锅,K,273.0,6.9,7.2,6.9,103.0
776,西餐,K,179.0,7.5,7.4,7.3,49.0
777,甜点,K,217.0,7.7,8.0,7.6,22.0
780,啡厅,K,25.0,6.7,7.0,6.9,21.0
781,火锅,K,18.0,7.9,7.3,7.9,33.0
785,浙菜,K,220.0,8.4,9.0,8.2,90.0
789,西餐,K,22.0,7.4,7.4,7.4,60.0
790,甜点,K,70.0,8.7,8.8,8.8,33.0
794,湘菜,K,1.0,6.9,6.9,6.9,22.0
797,火锅,K,24.0,7.3,7.2,7.3,50.0
800,北菜,K,6.0,6.8,6.8,6.9,43.0
803,快餐,K,3.0,6.9,6.9,6.9,28.0
804,疆菜,K,1.0,7.0,7.0,6.9,15.0
806,西餐,K,69.0,7.2,7.3,7.3,64.0
807,甜点,K,656.0,8.1,8.0,7.9,26.0
810,火锅,K,19.0,7.6,7.4,7.7,29.0
812,浙菜,K,190.0,8.8,9.0,8.8,143.0
818,快餐,K,163.0,7.4,7.0,7.0,16.0
820,海鲜,K,34.0,6.8,6.4,6.6,57.0
822,西餐,K,327.0,7.0,7.2,7.2,66.0
825,美食,K,18.0,7.2,7.3,7.3,31.0
826,西餐,K,24.0,6.9,6.9,7.1,41.0
828,美食,K,24.0,6.6,6.8,7.0,24.0
829,常菜,K,8.0,7.3,7.3,7.5,30.0
830,浙菜,K,32.0,7.0,6.6,6.7,60.0
836,浙菜,K,25.0,7.1,6.8,7.1,59.0
838,烧烤,K,81.0,7.4,6.6,6.9,20.0
839,甜点,K,106.0,7.6,7.6,7.5,28.0
840,粤菜,K,823.0,8.1,8.8,8.5,76.0
841,本菜,K,19.0,7.3,7.3,7.3,16.0
842,浙菜,K,200.0,7.2,6.1,6.5,68.0
844,浙菜,K,61.0,7.1,7.1,7.1,94.0
845,浙菜,K,10.0,7.4,7.4,7.4,51.0
846,常菜,K,1.0,7.5,7.1,7.1,30.0
848,快餐,K,811.0,8.0,8.5,8.2,28.0
851,甜点,K,92.0,7.8,8.1,7.9,31.0
853,火锅,K,144.0,8.0,8.2,8.2,50.0
855,料理,K,251.0,7.5,7.5,7.1,73.0
857,浙菜,K,123.0,6.8,6.6,6.7,68.0
859,川菜,K,184.0,7.7,7.8,7.4,70.0
860,川菜,K,76.0,7.2,7.5,7.4,51.0
861,粤菜,K,129.0,6.8,7.0,7.0,50.0
862,火锅,K,233.0,7.5,7.5,6.9,101.0
865,川菜,K,29.0,7.0,7.2,7.3,53.0
868,本菜,K,91.0,7.7,7.4,7.7,39.0
869,素菜,K,48.0,8.1,8.0,8.4,67.0
872,西餐,K,659.0,7.5,7.7,7.4,76.0
878,快餐,K,1.0,7.0,6.9,6.9,17.0
879,火锅,K,167.0,8.2,8.6,8.9,120.0
882,火锅,K,1116.0,8.1,8.1,8.1,74.0
890,浙菜,K,101.0,7.5,7.2,7.2,55.0
892,海鲜,K,33.0,7.1,7.1,6.9,177.0
894,湘菜,K,17.0,6.7,7.0,7.0,55.0
895,料理,K,155.0,7.6,7.6,7.7,62.0
897,火锅,K,10.0,7.4,7.5,7.6,48.0
898,浙菜,K,75.0,7.2,7.2,7.1,51.0
904,川菜,K,68.0,6.8,7.2,6.7,72.0
907,本菜,K,279.0,7.3,7.2,7.3,31.0
909,甜点,K,342.0,8.0,8.1,8.0,12.0
915,甜点,K,107.0,7.4,7.4,7.2,31.0
919,快餐,K,299.0,7.4,7.3,7.2,23.0
922,助餐,K,1895.0,7.7,7.8,7.8,52.0
923,甜点,K,72.0,7.4,7.4,7.4,152.0
924,甜点,K,95.0,7.3,7.3,7.3,16.0
928,快餐,K,30.0,6.7,7.4,7.1,43.0
930,西餐,K,178.0,7.7,7.6,7.5,17.0
934,美食,K,4.0,7.4,7.4,7.4,19.0
935,甜点,K,183.0,7.5,7.4,7.3,30.0
937,快餐,K,10.0,6.9,6.9,7.0,20.0
938,西餐,K,188.0,8.6,8.6,8.7,48.0
941,西餐,K,72.0,6.9,6.9,7.0,39.0
942,甜点,K,144.0,7.3,7.5,7.4,36.0
945,快餐,K,24.0,7.1,7.2,7.1,18.0
946,西餐,K,199.0,7.4,7.4,7.6,30.0
947,西餐,K,21.0,7.2,7.1,7.0,43.0
949,烧烤,K,33.0,7.3,7.3,7.3,56.0
952,啡厅,K,110.0,7.4,7.7,7.5,62.0
954,快餐,K,90.0,7.8,8.3,8.1,65.0
957,川菜,K,111.0,7.8,7.7,7.6,63.0
958,川菜,K,22.0,7.0,6.8,7.0,43.0
959,粤菜,K,333.0,8.7,7.9,8.0,48.0
960,粤菜,K,39.0,7.3,7.4,7.4,44.0
962,北菜,K,18.0,7.5,7.5,7.6,40.0
963,北菜,K,14.0,7.1,7.0,7.0,62.0
964,料理,K,153.0,7.3,7.4,7.5,81.0
965,西餐,K,33.0,6.5,6.6,6.6,17.0
966,甜点,K,10.0,7.0,7.0,7.0,24.0
967,啡厅,K,16.0,6.9,7.0,6.8,51.0
968,快餐,K,11.0,6.8,6.8,6.7,12.0
970,烧烤,K,4.0,7.7,7.5,7.6,44.0
977,浙菜,K,86.0,7.0,6.9,6.4,79.0
980,湘菜,K,21.0,7.4,7.0,7.5,40.0
982,粤菜,K,79.0,8.0,7.7,7.7,23.0
984,湘菜,K,20.0,7.3,6.8,7.1,49.0
988,浙菜,K,51.0,7.0,7.0,7.0,85.0
989,海鲜,K,33.0,7.3,7.3,7.3,102.0
993,火锅,K,595.0,7.8,7.9,7.7,94.0
995,快餐,K,82.0,7.3,7.3,7.3,23.0
1001,火锅,K,56.0,7.0,6.9,7.1,93.0
1003,龙虾,K,135.0,7.8,7.5,7.9,93.0
1004,川菜,K,498.0,7.8,7.6,7.5,86.0
1005,海鲜,K,43.0,7.5,7.4,7.4,39.0
1007,浙菜,K,65.0,7.0,6.9,6.9,69.0
1009,火锅,K,14.0,6.6,6.8,6.5,95.0
1012,川菜,K,267.0,7.4,7.1,7.3,95.0
1016,浙菜,K,19.0,7.0,7.2,7.1,47.0
1017,海鲜,K,21.0,7.3,7.5,7.4,146.0
1018,火锅,K,26.0,7.5,7.4,7.3,74.0
1020,龙虾,K,24.0,7.2,6.9,7.1,60.0
1021,浙菜,K,8.0,7.2,7.2,7.2,50.0
1023,浙菜,K,208.0,7.4,7.4,7.2,171.0
1025,啡厅,K,30.0,6.8,6.9,6.9,41.0
1027,浙菜,K,26.0,7.3,7.5,7.4,73.0
1028,助餐,K,509.0,7.4,7.7,7.5,119.0
1030,美食,K,4.0,7.5,7.4,7.5,72.0
